"lic","instituciones","direccion_fisica","pueblo_fisico","zip_code_fisico","direccion_postal","pueblo_postal","zip_code_postal","telefono_primario","telefono_secundario","email_primario","email_secundario","fax_primario","fax_secundario","director_preescolar","director_elemental","director_intermedia","director_superior","matricula_preprekinder","matricula_prekinder","matricula_kinder","matricula_sin_grado_preescolar","matricula_primero","matricula_segundo","matricula_tercero","matricula_cuarto","matricula_quinto","matricula_sexto","matricula_sin_grado_elemental","matricula_septimo","matricula_octavo","matricula_noveno","matricula_decimo","matricula_undecimo","matricula_duodecimo","matricula_sin_grado_secundaria","total"
"A 22-14","North Point Military Academy, Inc.","Carr 671, Km. 0.1, Sect El Criolllo, Barrio Algarrobo","Vega Baja","00693","PO BOX 402","Manatí","00674","(787) 807-4161","(787) 807-4161","escuela_northpoint@yahoo.com",,"(787) 807-4161","(787) 807-4161","Heriberto Rodriguez","Heriberto Rodriguez","Heriberto Rodriguez","Heriberto Rodriguez","5","9","19","0","23","19","20","17","10","12","0","21","16","14","8","11","11","0","215"
"A 22-16","Globelle Technical Institute, Inc.","Carr #2, Marginal 114, Urb Monte Carlo","Vega Baja","00693","136 Calle Trinitaria Alianza","Morovis","00687","(787) 414-3047","(787) 414-3047","gloriaesther1949@gmail.com",,"(787) 414-3047",,"n/a","n/a","Gloria Cruz Lugo","Gloria Cruz Lugo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A 22-16.1","Globelle Technical Institute, Inc. (Centro de Extensión Educativa)","Calle Betances, Número 11-B, 11-C, 12 Barrio Pueblo","Vega Baja","00693","136 Calle Trinitaria Alianza","Morovis","00687","(788) 414-3047","(787) 414-3047","gloriaesther1949@gmail.com",,"(787) 414-3047",,"No aplica","No aplica","Gloria Cruz Lugo","Gloria Cruz Lugo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A 22-17","Colegio Joari","Carr Núm. 687, Km. 0.1,Sect Tortuguero, Barrio Algarrobo","Vega Baja","00693","Apartado 1962","Vega Baja","00694","(939) 642-4240","(787) 807-5522","colegiojoari@hotmail.com","di-nay-ra@hotmail.com","(787) 807-5522",,"Dinayra Sosias Rivas","Dinayra Sosias Rivas","No aplica","no aplica","9","9","8","9","9","11","9","11","6","0","0","0","0","0","0","0","0","0","81"
"A 22-18","Madelcar Academy","Carr # 686, km. 1.5, Barrio Cabo Caribe","Vega Baja","00693","PO BOX 2246","Manatí","00674","(787) 858-5549","(787) 449-2244","madelcaracademy14@hotmail.com",,"(787) 858-5549","(787) 449-2244","Yuisa B.Santiago Melendez","Yuisa B. Santiago Melendez","Yuisa B. Santiago Melendez","n/a","16","22","50","0","37","44","33","31","63","64","0","45","26","23","4","0","0","0","458"
"A 23-01","Academia San Alfonso","Calle Pío Rechani Final","Aguas Buenas","00703","PO BOX 97","Aguas Buenas","00703","(787) 732-8288","(787) 732-8288","asaalfonso@gmail.com","nora81366@gmail.com","(787) 732-4115",,"Sra. Nydia Velázquez Alicea","Sra. Nydia Velázquez Alicea","Sra. Nydia Velázquez Alicea",,"0","0","2","0","4","8","7","9","7","8","0","5","13","0","0","0","0","0","63"
"A 23-05","Plaza Kids School","Carr 794, Km. 0.4, Sect Camino Verde","Aguas Buenas","00703","HC 03 BOX 16125","Aguas Buenas","00703","(787) 633-2145","(787) 633-2145","lizzettepl@gmail.com",,"(787) 732-2509",,"Lizzette C. Plaza Maradiaga","Lizzette C. Plaza Maradiaga","No aplica","No aplica","8","8","1","0","9","5","5","7","1","1","0","0","0","0","0","0","0","0","45"
"A 23-07","Colegio Educativo Alondra","Bo Mulas Carr156 Km.48.8 Interior  Sect las Orquideas","Aguas Buenas","00703","HC 05 BOX 6212","Aguas Buenas","00703","(787) 732-6675","(939) 539-2324","colegioeducativoalondra@gmail.com","zoraidaocasio49@gmail.com","(787) 732-6675","(939) 539-2324","Profa. Iomil Villanueva Gonzalez","Profa. Iomil Villanueva Gonzalez","n/a","n/a","6","6","8","0","6","5","1","0","1","0","0","0","0","0","0","0","0","0","33"
"A 24-03","Casa Montessori del Centro, Inc.","Calle Félix Ríos # 289, Carr #7719","Aibonito","00705","Calle Félix Ríos # 289","Aibonito","00705","(787) 735-8889","(787) 316-1572","magiabos@yahoo.com",,"(787) 735-8889",,"Angel M. Ramos Aponte","Angel M. Ramos Aponte","no aplica","no aplica","0","17","10","0","8","6","4","0","1","0","0","0","0","0","0","0","0","0","46"
"A 24-06","Garbidalis Bilingual Academy, Aibonito","Carr #725, Km 3.5, Interior, Sect Saturnino Benítez, Barrio Llanos Adentro","Aibonito","00705","PO BOX 810","Aibonito","00705","(939) 545-6547","(787) 439-7098","elimaris@live.com","elimaris@live.com","(787) 735-5259",,"Elimaris Rivera Hernández","Elimaris Rivera Hernández","N/A","N/A","8","10","3","0","5","2","1","0","0","0","0","0","0","0","0","0","0","0","29"
"A 24-07","Centro de Estudio Casita María, Inc.","Calle Ramón Flores #7","Aibonito","00705","Calle Ramón Flores #7","Aibonito","00705","(787) 735-6286","(787) 207-1135","casitamaria@hotmail.com","ceducasitamaria@hotmail.com","(787) 735-6286",,"Nildamari Ortiz Curz","Ana Maria Torres","Ana Maria Torres","n/a","4","6","8","0","3","1","1","5","4","2","0","5","1","0","0","0","0","0","40"
"A 24-08","Instituto Educativo Técnico Vocacional de Aibonito","#91 Calle Mercedita Sellallés Final","Aibonito","00705","#91 Calle Mercedita Serrallés Final","Aibonito","00705","(787) 735-1016","(787) 382-1202","jberrios@trabajo.pr.gov","isalopez@trabajo.pr.gov","(787) 735-1016",,"n/d","n/d","n/d","Javier Berrios Rivera","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","8"
"A 25-02","COLEGIO MAYOR DE TECNOLOGIA,INC.","Calle Morse #87, #151 y #152, Barrio Cuatro Calles","Arroyo","00714","PO BOX 270","Arroyo","00714","(787) 839-5266","(787) 839-4066","m.vicente@cmtarroyo.com","a.rivera@cmtarroyo.com","(787) 839-8316","(787) 839-8316","n/a","n/a","n/a","DR. JAIME COLON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A 26-02","Centro Educativo de la Montaña San Francisco de Asís, Inc.","Bo Helechal, Sect La Palmita, Carr 162, Km. 6.9, Esq. Carr 719, Km. 2.3","Barranquitas","00794","PO BOX 789","Barranquitas","00794","(787) 857-2123","(787) 800-1278","info@colsfa.com","mmarrero@colsfa.com","(787) 857-2123",,"Ignacia Ortiz","Ignacia Ortiz","Ignacia Ortiz","Ignacia Ortiz","0","20","25","0","32","35","22","23","23","18","0","26","20","26","32","20","0","0","322"
"A 26-03","Barranquitas Job Corps","Carr 152 km. 3.0 Bo Quebradillas","Barranquitas","00794","PO BOX 68","Barranquitas","00794","(787) 857-5200","(787) 857-5555","cabrera.pedro@jobcorps.org","morales.brenda@jobcorps.org","(787) 857-7760","(787) 857-7710","n/a","n/a","n/a","Brenda I. Morales Nieves","0","0","0","0","0","0","0","0","0","0","0","0","0","30","77","27","20","0","154"
"A 27-01","Colegio San Juan Apóstol y Evangelista","Urb Bairoa, Ave Bairoa, Esq. Calle 27","Caguas","00726","Apartado 459","Caguas","00726","(787) 743-8266","(787) 747-4302","marie.lozano@colegiosja.com","wilma.roman@colegiosja.com","(787) 747-4301",,"Sra. Marié I. Lozano López","Sra. Marié I. Lozano López","Sra. Marié I. Lozano López","Sra. Marié I. Lozano López","9","14","34","0","43","45","44","44","57","69","0","60","38","62","46","55","47","0","667"
"A 27-05","Thomas Alva Edison School","Urb Alturas de Villa del Rey, Calle 34 Final","Caguas","00726","PO BOX 5279","Caguas","00726","(787) 743-8355","(787) 743-8352","info@taespr.org","carmenzoraida.claudio@taespr.org","(787) 743-5497",,"Carolyn Collazo","Carolyn Collazo","Carolyn Collazo","Carolyn Collazo","0","23","26","0","27","25","34","42","48","38","0","42","38","58","38","45","26","0","510"
"A 27-06","Colegio San Miguel de Caguas, Inc.","Urb Bairoa Park, Calle Parque Napoleón # 2 J 38 y J 39","Caguas","00726","PMB 3117 PO BOX 4956","Caguas","00726","(787) 743-1814","(787) 743-1814","iglesias_ana@yahoo.com","info@csmcaguas.com","(787) 745-7093",,"Ana M. Iglesias Flores","Ana M. Iglesias Flores","0","0","15","4","9","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","35"
"A 27-07","Adler College","Bo Rincón, Carr PR 189 Km. 3.1","Gurabo","00778","HC 2 BOX 16161","Gurabo","00778","(787) 961-2922","(787) 961-2922","directoradler@adlercollege.com","jtorres@adlercollege.com","-0",,"Dr. Jose Torres","Dr. Jose Torres","Dr. Jose Torres","Dr. Jose Torres","0","6","9","0","11","15","10","17","10","14","0","18","21","18","30","15","29","0","223"
"A 27-08","Colegio Paradis, Inc.","Urb Paradis, B 16 Calle Lópe  Flores","Caguas","00725","Urb Paradis, Calle Lópe Flores B-16","Caguas","00725","(787) 746-5059","(787) 469-4855","colegioparadispr@gmail.com",,"(787) 746-5059","(787) 746-5059","LUZ  D.  OCASIO","ZAIDA  RAMOS  HERNANDEZ","N/A","N/A","5","8","7","0","9","9","4","0","0","0","0","0","0","0","0","0","0","0","42"
"A 27-09","Colegio Católico Notre Dame (Secundari0)","Ave Troche, Esquina Calle Troche","Caguas","00725","Apartado 937","Caguas","00726","(787) 900-3073","(787) 743-3693","jrivera1971@hotmail.com","joserivera@ccndpr.com","(787) 258-9648","(787) 743-3963","N/A","N/A","José J Grillo Alverio - Principal","José J Grillo Alverio - Principal","0","0","0","0","0","0","0","0","90","131","0","145","151","173","205","190","203","0","1288"
"A 27-10","Academia Primaria Adventista de Cayey","Bo Beatriz, Km. 54.8, Carr 1, Sect Las Mercedes","Cayey","00737","PO BOX37 2518","Cayey","00737","(787) 738-6261","(787) 738-6261","educacion@apadventista.org","educacioneste@yahoo.com","(787) 334-1499","(787) 334-1499","Carmen Lopez","Carmen Lopez","Carmen López",,"0","2","4","0","6","4","6","4","1","5","0","0","0","0","0","0","0","0","32"
"A 27-11","Instituto Las Américas, Inc.","Residencial Bairoa, Calle # 3 BX-4","Caguas","00725","Residencial Bairoa, Calle # 3 BX-4","Caguas","00725","(787) 743-9494","(787) 743-9494","institutolasamericas@gmail.com","mvidale@hotmail.com","787-749494","787-749494","Migdalia Cordero Santana","Migdalia Cordero Santana","NA","NA","0","0","0","0","5","10","9","5","3","11","0","0","0","0","0","0","0","0","43"
"A 27-14","Academia Cristo de los Milagros","85 Ave Luis Muñoz Marín","Caguas","00725","PO BOX 7618","Caguas","00726","(787) 743-4242","(787) 743-4855","cristo@acmpr.net",,"(787) 746-1428",,"Yolanda Flores Mejías","Yolanda Flores Mejías","Yanira Flores Meléndez","Yanira Flores Meléndez","11","15","46","0","50","57","65","73","86","83","0","75","79","64","89","84","80","0","957"
"A 27-18","Colegio Bautista de Caguas","Bo Cañaboncito, Carr #784, Km. 2.1","Caguas","00727","PO BOX 6565","Caguas","00726","(787) 743-3721","(787) 744-5950","CBC@CBCAGUAS.ORG","CBCDIR.EJEC@CBCAGUAS.ORG","(787) 743-5545",,"DAMARIS SANTOS SANTOS, DIRECTORA EJECUTIVA","DAMARIS SANTOS SANTOS, DIRECTORA EJECUTIVA","DAMARIS SANTOS SANTOS, DIRECTORA EJECUTIVA","DAMARIS SANTOS SANTOS, DIRECTORA EJECUTIVA","0","11","28","0","31","38","42","49","59","55","0","65","79","82","91","88","78","0","796"
"A 27-20","Escuela Ecológica Niños Uniendo al Mundo, Inc.","Carr PR 798 Interior, Km. 28.8, Bo Río Cañas, Sect El Coquí","Caguas","00725","PO BOX 871","Caguas","00726","(787) 744-7739","(787) 315-7370","ecologicanuam@gmail.com","crosa.riveram2016@gmail.com","(787) 744-7739",,"Carmen Rosa Rivera Mirabal","Carmen Rosa Rivera Mirabal","No aplica","No aplica","5","8","8","0","6","9","9","8","8","8","0","0","0","0","0","0","0","0","69"
"A 27-22","Caguax Bilingual School","Urb Caguax, Ave Luis Muñoz Marín E-23","Caguas","00725","Urb Caguax, Ave. Luis Muñoz Marín E-23","Caguas","00725","(787) 461-3838","-0","caguaxbilingual@gmail.com","caguaxbilingual@gmail.com","(787) 461-3838","-0","Carmen Milagros Ortiz Cintrón","Carmen Milagros Ortiz Cintrón","0","0","1","3","8","0","6","9","5","5","1","1","0","0","0","0","0","0","0","0","39"
"A 27-23","Taller Creativo Preescolar-Elemental","Calle Cristobal Colón # 6","Caguas","00726","Urb Colinas de Cupey, Calle 2 B-13","San Juan","00926","(787) 746-7744","78744 1665","taller.creativo.pr@gmail.com","rosacreativo@gmail.com","(787) 744-1665",,"Rosa M. Martínez Lorenzoy/o Nidia Collazo Rivera","Rosa M. Martínez Lorenzo, y/o Nidia Collazo Rivera","n/a","n/a","7","8","17","0","21","18","21","24","22","21","0","0","0","0","0","0","0","0","159"
"A 27-24","Colegio Kiany","Calle Héctor R. Bunker # 27","Caguas","00725","Calle Héctor R. Bunker # 27","Caguas","00725","(787) 743-8573","(787) 743-8520","info@colegiokiany.org",,"(787) 743-1380",,"María A. Calderón","María A. Calderón","N/A","N/A","0","23","43","0","71","45","52","57","50","0","0","0","0","0","0","0","0","0","341"
"A 27-27","Colegio San José","Calle Coral Número 27 y Coral Final #100, Esq. Ave Luis Muñoz Marín","Caguas","00726","BOX 1749","Caguas","00726","(787) 744-8993","(787) 743-2032","colegiosanjosesuperior@hotmail.com","csje-sec@csje-sec.org","(787) 744-4111","(787) 258-0683","Srta. Denise Cruz","Srta. Denise Cruz","Dra. Brenda Figueroa de Soler","Dra. Brenda Figueroa de Soler","4","1","15","0","12","17","4","4","8","14","0","1","7","9","1","5","5","0","107"
"A 27-29","Colegio Católico Notre Dame (Elemental)","Ave Troche #34","Caguas","00725","Apartado 937","Caguas","00726","(787) 743-2385","(787) 523-2229","ccenotredame@gmail.com","sherlyperezbernard@ccndpr.com","(787) 258-9648",,"Rodríguez Marrero, Luz E.","Rodríguez Marrero, Luz E.","Grillo, José","Grillo, José","13","27","40","0","56","59","64","76","0","0","0","0","0","0","0","0","0","0","335"
"A 27-31","Colegio Rudianette, Inc.","Calle Dr. Rufo # 13, Barrio Pueblo (Primera y Segunda Planta)","Caguas","00725","Paseo Degetau 402","Caguas","00727","(787) 743-1970","(787) 536-1557","rudianette@hotmail.com",,"(787) 743-1970","(787) 536-1557","N/A","Jeanette Barreto Ortiz","Jeanette Barreto Ortiz","Jeanette Barreto Ortiz","0","0","0","0","0","0","0","0","0","0","0","5","10","12","11","14","13","0","65"
"A 27-32","Liceo Eugenio María de Hostos","Calle Monseñor Berríos # 22, Séctor Saravona","Caguas","00725","PMB 4652-122","Caguas","00725","(787) 745-3950","(787) 745-3950","liceodehostos@outlook.com","administracion@liceodehostos.com","(787) 258-5685",,"Begonia Carrasquillo","Begonia Carrasquillo","n/a","n/a","0","22","26","0","34","30","19","31","37","18","0","0","0","0","0","0","0","0","217"
"A 27-34","Academia Cooperativa de Integración Social","Calle Juan Morales Final, Urb Valle Tolima (Primera Planta, Segunda Planta, Tercera Planta y Vagones)","Caguas","00727","Urb Valle Tolima, Calle Luis Vigoreaux D-1","Caguas","00727","(787) 746-7523","(787) 312-4142","akdmiacis@yahoo.es",,"(787) 746-7523",,"No aplica","Lydia Flores Ayala","Lydia Flores Ayala","Lydia Flores Ayala","0","0","0","0","0","0","0","9","9","34","0","28","37","34","35","39","31","0","256"
"A 27-38","Academia Cristiana Logos de Yaveh, Inc.","Carr de Caguas a San Lorenzo #183, Km. 1, Hm. 5, Urb José Mercado, Calle Washington V-37","Caguas","00726","PO BOX 6324","Caguas","00726","(787) 746-3845","(787) 746-3845","academia.logos.caguas@gmail.com","planificaciondocentelogos@gmail.com","(787) 746-3845","(787) 746-3845","Samuel Rivera Ortega","Samuel Rivera Ortega","Samuel Rivera Ortega","Samuel Rivera Ortega","0","4","5","0","8","11","9","7","8","11","0","8","11","15","9","5","9","0","120"
"A 27-39","Escuela Secundaria Especializada en Ciencias, Matemáticas y Tecnología","Calle Betances #67, Esquina Calle Baldorioty","Caguas","00725","Calle Betances #67, Esq. Calle Baldorioty","Caguas","00725","(787) 961-7190","(787) 961-7191","evellon@cimatecpr.org","elenavellonbenitez@gmail.com","(787) 961-7192",,"No aplica","No aplica","Sra. Elena Vellón Benítez","Sra. Elena Vellón Benitez","0","0","0","0","0","0","0","0","0","0","0","67","58","56","52","59","48","0","340"
"A 27-41","Nuestra Escuela, Inc.","Calle Geogetti #90B","Caguas","00725","Avenida San Claudio #352, Buzón 133","San Juan","00926","(787) 258-0636","(787) 258-6780","anayris@nuestraescuela.org","jessicarodriguez@nuestraescuela.org","(787) 746-5852",,"n/a","n/a","Ana Yris Guzmán Torres","Ana Yris Guzmán Torres","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","137","137"
"A 27-42","Richport Technical College","Carr # 189, Km. 6.0, Rincón Industrial Park","Gurabo","00778","HC 02 BOX 12004","Gurabo","00778","(787) 712-4851","(787) 712-4748","hac02@coqui.net","hac01@coqui.net","(787) 712-6003","(787) 712-6003","No Aplica","No Aplica","No Aplica","Dra. Lester Colón de Vega","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A 27-44","Puerto Rico Educational College, Inc.","Ave Roosevelt 1105, Puerto Nuevo (Segunda Planta)","San Juan","00921","PO BOX 400","Caguas","00726","(787) 975-7551","(787) 593-7711","licenciadojulioortiz@yahoo.com",,"(787) 975-7551",,"N/A","N/A","Julio Ángel Ortiz Dávila","Julio Ángel Ortiz Dávila","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A 27-45","Escuela Elemental Nueva Pedagogía","Bo Río Caña. Sect la Guasabara Núm. 10 carr PR 796 km. 1.8 Caguas","Caguas","00725","Calle 24, 2U-16, Mirador Bairoa","Caguas","00725","(787) 698-7755","(787) 948-1794","escuelanuevapedagogia@yahoo.com","amyfpr@yahoo.com","(787) 745-3442",,"Amy Figueroa Hernández","Amy Figueroa Hernández","Amy Figueroa Hernández",,"5","5","7","0","9","8","12","12","9","5","0","0","0","0","0","0","0","0","72"
"A 27-46","Colegio de Integración Educativa (CIE)","Urb Villa Blanca, J-12 Calle 9","Caguas","00725","Urb Villa Blanca, calle 9-J-12","Caguas","00725","(787) 918-8899","(787) 586-1451","colegiodeintegracioneducativa@gmail.com","vchepr@gmail.com","(787) 918-8899","(787) 918-8899","Marie Vanessa Torres Aponte","Marie Vanessa Torres Aponte","Marie Vanessa Torres Aponte","Marie Vanessa Torres Aponte","0","20","16","0","20","20","16","19","20","20","0","6","14","22","9","21","15","0","238"
"A 27-47","Caguas Private School","Calle Jardines #130 (Antigua Central Santa Juana)","Caguas","00725","Calle Jardines #130","Caguas","00725","(787) 258-5656","(787) 258-5657","info@caguasprivateschool.org","brivera@caguasprivateschool.org","(787) 743-1380",,"Ana Villanueva Ayala","Ana Villanueva Ayala","Ana Villanueva Ayala","Ana Villanueva Ayala","0","21","28","0","12","16","0","0","0","48","0","63","83","51","85","48","83","0","538"
"A 27-49","Academia Regional Adventista Central","Camino Municipal (Antiguo Vertedero), Carr Interior #7784, Bo Turabo","Caguas","00725","PO BOX 6585","Caguas","00726","(787) 743-1281","(787) 961-7200","info@aracpr.com","danael@aracpr.com","(787) 745-1545","(787) 745-1545","Prof. Danael Rodríguez","Prof. Danael Rodríguez","Prof. Danael Rodríguez","Prof. Danael Rodríguez","0","12","22","0","25","25","29","19","24","28","0","29","29","30","20","30","21","0","343"
"A 27-50","Little Harvard Bilingual School","396 Carr # 1 Villas del Rey 1","Caguas","00725","396 Carr # 1 Villas del Rey 1","Caguas","00725","(787) 203-5468","(787) 223-6277","littleharvardschool@yahoo.com",,"(787) 203-5465",,"Yaritza Pérez Rodríguez","Yaritza Perez Rodriguez","n/a","n/a","0","6","19","0","15","11","5","0","0","0","0","0","0","0","0","0","0","0","56"
"A 27-51","Academia CEIP","Plaza de Salud SANOS, Ave Rafael Cordero Final, Esquina Troche","Caguas","00725","San Jovino 421, Urb Sagrado Corazón","San Juan","00926","(787) 747-1374","(787) 745-0559","ceip_pasos@yahoo.com",,"(787) 745-0549",,"Michelle Naredo","Michelle Naredo","Michelle Naredo","Michelle Naredo","0","0","0","40","0","0","0","0","0","0","40","0","0","0","0","0","0","32","112"
"A 27-54","Caguas Learning Academy","Urb José Mercado Calle Kennedy A-95","Caguas","00725","Urb José Mercado Calle Kennedy A-95","Caguas","00725","(787) 969-8121","(787) 922-8598","caguaslearning@yahoo.com","cladirectora@yahoo.com","(797) 922-8598",,"Janice M. Fernandez","Janice M. Fernandez","Yairail Torres","Yairail Torres","0","4","8","0","7","13","11","6","15","9","0","12","8","8","4","13","5","0","123"
"A 27-56","Chiquimágico Bilingual Academy and Learning Center","Chiquimágico Bilingual Academy and Learning Center","Caguas","00725","Chiquimágico Bilingual Academy and Learning Center","Caguas","00725","(787) 717-2424","(787) 962-5092","chiquimagico@gmail.com","gilanacorp@hotmail.com","(787) 962-5092",,"Marítza Massas","Marítza Massas","n/a","n/a","0","18","21","0","15","12","0","0","0","0","0","0","0","0","0","0","0","0","66"
"A 27-57","Amadel Bilingual School","Calle Rubí #13 Urb Villa Blanca","Caguas","00725","Calle Rubí #13 Urb Villa Blanca","Caguas","00725","(787) 653-5078","(787) 565-4770","amadelpr@gmail.com","fidelortiz1@gmail.com","(787) 653-5078",,"Amarilis Santiago Gutíerrez","Amarilis Santiago Gutíerrez","n/a","n/a","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"A 27-58","Montessori Del Valle, Inc.","B-6 Calle 1 Extencion El Verde Sur","Caguas","00725","B-6 Calle 1 Extensión El Verde Sur","Caguas","00725","(787) 744-9714","(787) 612-7072","montessoridelvalle@yahoo.com",,"(787) 744-9714",,"María M. Acevedo Quilés","María M. Acevedo Quilés","n/a","n/a","0","10","6","0","9","2","6","5","1","2","0","0","0","0","0","0","0","0","41"
"A 27-59","Niños Exploradores","Urb Bairoa Calle La Pinta BF-10 Caguas,P.R. 00725","Caguas","00725","Urb Bairoa Calle La Pinta BF-10 Caguas,P.R 00725","Caguas","00725","(787) 745-8888","(787) 962-5092","ninosexploradores@gmail.com","gilanacorp@hotmail.com","(787) 745-8888",,"Sra. Janet Diaz","n/a","n/a","n/a","0","20","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34"
"A 27-60","Happy Face Individual School","UrbNotre Dame Calle San Bartolomé D-23","Caguas","00725","Urb Notre Dame Calle San Bartolomé D-23","Caguas","00725","(787) 644-5817","(787) 653-9718","lauraenidsantos@yahoo.com","carmeloruizg@gmail.com","(787) 653-9718",,"Laura E. Santos Peña","Laura E. Santos Peña","n/a",,"0","20","14","0","8","10","9","9","4","7","0","0","0","0","0","0","0","0","81"
"A 27-61","Escuela de Bellas Artes y Tecnología (EBATEC)","Ave Gautier Benitez #40","Caguas","00725","Avenida Gautier Benitez #40","Caguas","00725","(787) 367-3974","(787) 460-2503","berrios_aida@hotmail.com","joaplaceres@gmail.com","(787) 367-3974",,"Sra. Aida Berrios Gomez","Sra. Aida Berrios Gomez","Sra. Aida Berrios Gomez","Sra. Aida Berrios Gomez","0","9","13","0","22","24","27","19","19","18","0","23","25","50","27","17","17","0","310"
"A 27-62","Escuela Montessori San Cristóbal Inc.","Sect Quebrada Arenas, Bo Río Cañas","Caguas","00725","PMB 428 - HC 01 29030","Caguas","00725","(939) 337-5755","(787) 226-6330","hcsancristobal@gmail.com","montessori.sanc@gmail.com","(787) 744-1777","(787) 744-1777","Lerián Fuentes Mercado","Lerián Fuentes Mercado","n/a","n/a","10","9","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"A 27-63","Adonai Christian School","Calle Oslo I-16 Urb Caguas Norte Caguas,P.R.","Caguas","00725","PO BOX 7824,  Caguas, P.R. 00726","Caguas","00726","(787) 653-9898","(787) 552-0956","mayraabreu@gmail.com","mayra@adonaidaycare.com","(787) 653-9898",,"Sra. Mayra Abreu","Sra. Mayra Abreu","Sra Mayra Abreu","Sra Mayra Abreu","14","24","13","47","7","3","0","0","0","0","0","0","0","0","0","0","0","0","108"
"A 27-64","Davinci Academy of Sciences, Technology and Arts","Urb Villa Blanca Calle Aquamarina #50","Caguas","00725","Urb Villa Blanca Calle Aquamarina #50","Caguas","00725","(787) 337-9890","(787) 743-5102","maria@davinciacademypr.com","info@davinciacademypr.com","78777 1348",,"María L. Marchany Justiniano","María L. Marchany Justiniano","n/a","n/a","0","12","10","0","0","3","6","6","4","0","0","0","0","0","0","0","0","0","41"
"A 27-65","Colegio de Integración PEI","Ave Lucero #23 y 25 El Verde","Caguas","00725","Apartado PMB 466 PO BOX 4956","Caguas","00726","(787) 334-1767","(787) 405-1601","colegiodeintegracionpei@gmail.com","edualternativas@gmail.com","(787) 746-7011","(787) 405-1601","Prof. Elena Lamboy Martes","Prof. Elena Lamboy Martes","Prof. Elena Lamboy Martes","n/d","0","1","2","0","2","0","1","0","1","3","0","1","2","0","0","0","0","0","13"
"A 28-01","Colegio Radians, Inc.","Carr  735   Km. 0.4   Sect Montellano","Cayey","00736","PO BOX 371298","Cayey","00737","(787) 738-4822","(787) 263-2785","vvega@radiansschool.org","rcastrodad@radiansschool.org","(787) 738-2700","(787) 738-2700","José A. Castrodad Rivera, Presidente","José A. Castrodad Rivera, Presidente","José A. Castrodad Rivera, Presidente","José A. Castrodad Rivera, Presidente","15","26","39","0","50","46","51","52","51","60","0","51","43","46","51","41","32","0","654"
"A 28-02","Círculo Infantil","Ave Antonio R. Barceló # 340","Cayey","00737","PO BOX 6400, PMB 244","Cayey","00737","(787) 738-2269","(787) 738-2269","celdespertarinc@yahoo.com",,"(787) 738-2269","(787) 738-2269","Sandra Cáceres Díaz, Directora Administrativa","Sandra Cáceres Diaz,Directora Administrativa","N/A","N/A","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36"
"A 28-03","Academia La Milagrosa de Cayey","Carr 171, Km. 7.4 Interior, Bo Rincón","Cayey","00737","PO BOX 373338","Cayey","00736","(787) 738-4545","(787) 738-5565","rgonzalez@academialamilagrosa.org","rgonzalez@academialamilagrosa.org","(787) 738-1484",,"Luz M. León Mercado","Luz M. León Mercado","Rolando González","Rolando González","11","17","33","0","36","32","35","30","21","28","0","40","31","32","29","26","30","0","431"
"A 28-04","Mi Pequeño Paraíso Infantil DBA Paradisus Academy","Intersección Sect Mogote, Calle Evaristo Hernández #39, Interior","Cayey","00736","Calle Eleuterio Ramos #1 Bda. Nueva","Cayey","00736","(787) 738-3041","(787) 738-3041","g.torres.rivera@hotmail.com","j.ortiz.martinez@hotmail.com","(787) 738-3041","(787) 738-3041","Glendaly Torres Rivera","Glendaly Torres Rivera","no aplica","no aplica","23","29","19","10","14","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"A 28-06","Colegio Católico Nuestra Señora de la Merced","Calle Lucía Vázquez 178, Prolongación Morell Campos","Cayey","00737","PO BOX 372678","Cayey","00737","(787) 738-3438","(787) 263-5837","nancydiaz@colegio-lamerced.org","lauraortiz@colegio-lamerced.org","(787) 263-5837",,"Laura G. Ortiz Ramos","Laura G. Ortiz Ramos","Nancy J. Diaz Morales","Nancy J. Diaz Morales","0","18","33","0","42","34","55","64","55","59","0","63","66","63","64","62","54","0","732"
"A 28-09","Semtek Institute","Calle Muñoz Rivera 57 Sur","San Lorenzo","00754","Calle Muñoz Rivera 57 Sur","San Lorenzo","00754","(787) 736-3620","(787) 736-3620","crbadillo@yahoo.com","crbadillo@yahoo.com","(787) 736-3620","(787) 736-3620","N/A","N/A","Nilda Monserrate","Nilda Monserrate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","7"
