"organizaciones","n_mero_de_casoy_exenci_n","fecha_de_aprobadoo_denegado","fecha_de_efectividad","estatus"
"Angel de la Guarda","00-1101(4)-153","11 de enero de 2001","11 de enero de 2001"," "
"Angeles de la Retardación Mental Ponce (A.R.M.P.), Inc","2012-1101.01-1104","23 de agosto de 2013","28 de septiembre de 2010"," "
"Angeles Rompiendo Barreras,Inc","00-1101(4)-205","16 de marzo de 2001","16 de marzo de 2001"," "
"Angeles Somos Todos, Inc.","08-1101 ( )-266","14 de enero de 2011"," ","Denegada"
"Angeli Associates","90-101(24)-46","06 de agosto de 1991","05 de agosto de 1991"," "
"Angel's Boxing Club Inc","2014-1101.01-41","4 de septiembre de 2015","1 de enero de 2014"," "
"Anilom, Inc.","07-1101(4)-98","24 de septiembre de 2007","24 de septiembre de 2007"," "
"Animal Rescue and Protection Services Inc","2012-1101.01-1239","23 de enero de 2015","1 de enero de 2012"," "
"Animal Rescue Association, Inc.","101(6)","19 de agosto de 1981","25 de junio de 1981"," "
"Anmistía Internacional/Puerto Rico","81-101(7)-11","12 de junio de 1985"," "," "
"Ann Wigmore Institute,Inc","97-1101(4)-188","08 de septiembre de 1998","08 de septiembre de 1998"," "
"Antillana Homeowners Association","96-1101(24)-204","22 de julio de 1996"," "," "
"Antilles Military Academy Inc.","101(22)","17 de noviembre de 1972","30 de diciembre de 1972"," "
"Apartamentos Don Monchito Inc","05-1101(4)-359","02 de junio de 2006"," "," "
"Apartamentos para Envejecientes Dominica Corp","05-1101(4)-357","24 de mayo de 2006"," "," "
"APC - Asociación Paraíso de Coamo Corp","2012-1101.01-663","24 de febrero de 2014","27 de agosto de 2007"," "
"APICS Puerto Rico Chapter Inc","2013-1101.01-106","6 de julio de 2015","1 de enero de 2013"," "
"Apostolado de la Oración en  Puerto Rico, Inc.","96-1101(4)-448","11 de diciembre de 1996","11 de diciembre de 1996"," "
"Apoyo Comunitario de Recreación y Deporte 5ta Sección Villa Carolina Inc","2011-1101.01-490","2 de octubre de 2012","24 de octubre de 2006"," "
"Apoyo Empresarial Para la Península de Cantera, Inc.","92-101(6)-94","30 de junio de 1993","06 de agosto de 1993"," "
"Apparel Manufacturing Asociation of Puerto Rico, Inc.","101(6)","09 de mayo de 1972","04 de mayo de 1972"," "
"APPIA Inc","2011-1101.01-486","28 de enero de 2013","22 de mayo de 2009"," "
"AQJ.C.C.D. Corp","2013-1101.01-139","4 de octubre de 2013","24 de abril de 2013"," "
"Aquabella Homeowners Association, Inc.","06-1101(23)-13","06 de noviembre de 2006"," "," "
"Aquarium Foundation"," ","27 de mayo de 2004"," "," "
"Aqua-Vela Edutainment Inc","2011-1101.01-405","22 de enero de 2013","14 de marzo de 2006"," "
"Aqueofilms Corp","2013-1101.01-25","2 de junio de 2014","1 de enero de 2013"," "
"AquinoCalo Films Inc","2012-1101.01-1283","29 de agosto de 2014"," ","Denegada"
"AR Sports, Inc.","2010-1101 (6)-91","13 de mayo de 2011","01 de enero de 2010"," "
"Aracibo Hogar del Envejeciente, Inc.","07-1101(4)-51","15 de octubre de 2007","01 de enero de 2007","31-Dic-2009 - Revoc"
"Arbitros del Noreste, Inc.","10-1101 ( )-100","06 de diciembre de 2010"," ","Denegada"
"Arbitros Organizados del Oeste, Inc.","07-1101( )-120","29 de enero de 2008"," ","Denegada"
"Arboles Junto a Corrientes, Incorporado","96-1101(4)-441","07 de junio de 1996","07 de junio de 1996"," "
"Archdiocese of Philadelphia","96-1101(4)-702","27 de mayo de 1997","27 de mayo de 1997"," "
"Arecibo Baseball Academy, Inc.","10-1101 (4)-343","31 de marzo de 2011","02 de agosto de 2010"," "
"Arecibo Board of Realtors, Inc.","2011-1101.01-248","13 de junio de 2012","13 de enero de 2005"," "
"Arecibo Christian Academy, Inc.","05-1101(4)-422","01 de enero de 2005","11 de octubre de 2005"," "
"Arecibo Country Club","02-1101 ( )-420","18 de marzo de 2004","18 de marzo de 2004"," "
"Arecibo FC Inc","04-1101(6)-80","17 de noviembre de 2004","17 de noviembre de 2004"," "
"Areyto, Estampas Folkloricas de P.R. Inc.","101(23)","12 de febrero de 1974","29 de noviembre de 1973"," "
"Arica Institute, Inc.","101(22)","30 de julio de 1975","24 de julio de 1975"," "
"Arlequín, Inc.","92-101(7)-8","23 de enero de 1993","19 de febrero de 1993"," "
"Arpegio Inc","2013-1101.01-364","20 de mayo de 2014","22 de agosto de 2013"," "
"Arranca P R Corp","2014-1101.01-148","28 de junio de 2016","1 de enero de 2014"," "
"Arraq Tennis Club Corp.","08-1101( )-106","09 de febrero de 2009"," ","Denegada"
"Arrecife Condado Inc","2015-1101.01-206","25 de febrero de 2016","1 de enero de 2015"," "
"Arroyo Boomers Inc","2014-1101.01-276","9 de abril de 2015","1 de enero de 2014"," "
"Ars and Associates Inc","02-1101 ( )-108","12 de abril de 2003","12 de abril de 2003"," "
"ARS Vocalis,Inc","01-1101(4)-117","05 de octubre de 2001","05 de octubre de 2001"," "
"ARSFC, Inc.","2010-1101 (6)-498","04 de octubre de 2011","01 de enero de 2010"," "
"Art Conservation Institute  of P.R., Inc.","96-1101(4)-65","22 de abril de 1996","22 de abril de 1996"," "
"Art of Embracing Life Inc","2012-1101.01-583","11 de febrero de 2014","18 de agosto de 2010"," "
"Arte Alterno Corp","2002-1101 (4)-122","24 de octubre de 2002"," "," "
"Arte de Nuestra Tierra, Inc.","88-101(6)-16","08 de abril de 1988","08 de abril de 1988"," "
"Arte Foundation Net, Inc.","07-1101( )-171","05 de mayo de 2008"," ","Denegada"
"Artefacto Inc","04-1101 ( )-283","20 de octubre de 2004"," "," "
"Arteskene, Inc","05-1101( )-65","11 de octubre de 2006","15 de abril de 2004"," "
"Artevisión, Inc.","91-101(6)-53","03 de marzo de 1994","02 de marzo de 1994"," "
"Artificium, Corp","2010-1101 (4)-305","14 de julio de 2011","16 de abril de 2010"," "
"Artistas Plásticos Asociados (A.P.A.), Corp.","07-1101(4)-355","29 de abril de 2008","01 de enero de 2007"," "
"Arts Comite de Producciones Inc","04-1101( )-216","28 de febrero de 2006","8 de enero de 2004"," "
"Asamblea de Dios  Pentecostal Campo  Alegre","01-1101()-286","20 de febrero de 2002"," "," "
"Asamblea de Dios Central de Levitownn","02-1101()-10","06 de febrero de 2002","06 de febrero de 2002"," "
"Asamblea de Dios de Cataño, Inc.","97-1101(4)-284","03 de noviembre de 1997","03 de noviembre de 1997"," "
"Asamblea de Iglesias Cristianas","101(6)","28 de mayo de 1980","28 de mayo de 1980"," "
"Asamblea Espiritual de los Bahais de Puerto Rico, Inc","101(6)","16 de septiembre de 1977","16 de septiembre de 1977"," "
"Asamblea Espiritual de losBaha’is de Carolina","96-1101(4)-623","06 de junio de 1997","06 de junio de 1997"," "
"Asamblea Espiritual de losBahai’s de Mayagüez, Inc.","96-1101(4)-657","26 de junio de 1997","26 de junio de 1997"," "
"Asamblea Espiritual delos Baha’is de Cayey, Inc.","96-1101(4)-632","06 de junio de 1997","06 de junio de 1997"," "
"Asamblea Espiritual Localde los Baha’is de CaguasPuerto Rico, Inc.","96-1101(4)-634","01 de junio de 1997","10 de junio de 1997"," "
"Asamblea Espititual de Los Baha’is de San Germán, Inc.","96-1101(4)-633","13 de febrero de 1997","13 de febrero de 1997"," "
"Asamblea Familiar Virgilio Dávila, Inc.","93-101(6)-186","17 de febrero de 1994","17 de febrero de 1994"," "
"Ascendit MPJ Corp","2012-1101.01-182","5 de octubre de 2012","5 de mayo de 2011"," "
"Asesores Ambientalistas y Educativos, Inc.","96-1101(4)-119","15 de noviembre de 1996","15 de noviembre de 1996"," "
"Asesores Financieros Comunitarios, Inc.","08-1101(4)-28","02 de junio de 2008","01 de enero de 2008"," "
"Asian Community and Youth Association Corp","2014-1101.01-214","16 de febrero de 2016","1 de enero de 2014"," "
"Asilo El Paraiso","01-1101 ( )-109","16 de diciembre de 2003"," ","Denegada"
"Asilo Refugio de   La Milagrosa, Inc.","93-101(6)-120","01 de diciembre de 1993","17 de septiembre de 1993"," "
"Asilo y Colegio La Milagrosa, Inc.","96-1101(4)-85","22 de abril de 1996","22 de abril de 1996"," "
"Asoc Americana de Terapia Física (Cap de PR) Inc","04-1101 ( )-399","27 de abril de 2005"," "," "
"Asoc Corporaciones Especiales Propiedad de Trabajadores"," ","06 de mayo de 2004"," "," "
"Asoc de Acupuntura Médica de Puerto Rico","04-1101(5)-382","16 de mayo de 2006"," "," "
"Asoc de Condomines Cond Estela del Mar Inc","03-1101 (23)-401","02 de agosto de 2004","02 de abril de 2004"," "
"Asoc de Condomines Torres Puesta del Sol","05-1101 ( )-161"," "," "," "
"Asoc de Padres del Col de Agricultura y Art Mec de May","05-1101(4)-469","25 de octubre de 2006"," "," "
"Asoc de Porcinocultores del Area Central y Oeste","04-1101( )-271","23 de junio de 2006"," ","Denegada"
"Asoc de Prop de la Urb Veredas del Río Inc","04-1101 (23)-92","16 de febrero de 2005"," "," "
"Asoc de Propietar de Estancias de Santa Bárbara","03-1101 9 )-420","27 de enero de 2005"," "," "
"Asoc de Propietarios de Coconut Court Inc","04-1101 ( )-408","25 de abril de 2005"," "," "
"Asoc de Res de Parkville Este, Mall y San Ramón","04-1101(23)-11","22 de junio de 2006"," "," "
"Asoc de Res Unidos de la Comunidad Turabo Arriba, Inc","06-1101(6)-144","25 de octubre de 2006"," "," "
"Asoc de Residentes de Gables Breeze Inc"," ","07 de abril de 2005"," "," "
"Asoc de Residentes de Miradero de Humacao Inc","04-1101 ( )-244","13 de diciembre de 2004"," "," "
"Asoc de Residentes Egida de Enfermeras Inc"," ","13 de diciembre de 2004"," "," "
"Asoc de Residentes La Villa Gardens Apt.","03-1101(23)-336"," "," "," "
"Asoc de Residentes Parque de Bucare Inc","03-1101 ( )-263","20 de enero de 2004"," "," "
"Asoc de Residentes Urb Alturas de Juncos Inc"," ","13 de diciembre de 2004"," "," "
"Asoc de Residentes Vistas del Yunque Mar Inc","04-1101(23)-335","01 de mayo de 2006"," "," "
"Asoc Misionera de Iglesias Pentecostales Inc","03-1101 ( )-438","08 de septiembre de 2004"," "," "
"Asoc para el Mejor de Instituci Guiadas y Orientadas al Servic (AMIGOS), Inc.","07-1101(6)-123","15 de agosto de 2007"," "," "
"Asoc Puertorriqueña de Amigos de la Música Inc","05-1101 ( )-32","28 de junio de 2005"," "," "
"Asoc Puertorriqueña de Comunidades Terapeúticas","04-1101( )-75","02 de marzo de 2006"," "," "
"Asoc Puertorriqueña de Padres Adoptivos Inc","05-1101(6)-411","02 de marzo de 2006"," "," "
"Asoc Recreativa Cívica y Cultural Sector La Línea,","06-1101(6)-80","03 de octubre de 2006"," "," "
"Asoc Recreativa Parque Dr José C Barbosa Corp","04-1101 (6)-344","13 de septiembre de 2005"," "," "
"Asoc Recreativa Urb College Park, Santa María y Parque de San Ignacio Inc.","05-1101(6)-391","09 de agosto de 2007"," "," "
"Asoc Residentes Mirador Mar Chiquita Inc","05-1101(23)-77","04 de mayo de 2006"," "," "
"Asoc. Comunidad la Vega  Campamento de Verano Inc.","96-1101(6)-123","16 de junio de 1997"," "," "
"Asoc. Evang. Proclamemos Cristo Viene Pronto, Inc.","97-1101(4)-37","18 de junio de 1997"," "," "
"Asoc. para el mejoramiento social y económico del Cond. Madrid Plaza, Inc.","04-1101(6)-338","10 de agosto de 2006"," "," "
"Asoc. Unity de Cristianismo Práctico de Puerto Rico","101(  )","04 de enero de 1962"," "," "
"Asociación  Comerciantes de la Calle de Diego, Inc.","96-1101(5)-464","11 de diciembre de 1996"," "," "
"Asociación  de Ex Empleados Socios de la Asociación de Empleados del Estado Libre Asociado de
Puerto Rico (AESA)","2012-1101.01-441","21 de noviembre de 2012","23 de julio de 1971"," "
"Asociacion  Propietarios  Condominio Madrid","02-1101(23)-32","11 de septiembre de 2002"," "," "
"Asociación Acirc Corp","2014-1101.01-114","15 de octubre de 2015","1 de enero de 2014"," "
"Asociación Acueducto Cintrón, Inc.","101(  )","18 de enero de 1972"," "," "
"Asociación Agro - Empresarias de PR Inc","2013-1101.01-177","28 de marzo de 2016","1 de enero de 2013"," "
"Asociación Agro-Mujer de PR Inc","2012-1101.01-160","8 de julio de 2013","1 de enero de 2012"," "
"Asociación Alzheimer y Desórdenes Relacionados,Inc.-","96-1101(4)-96","29 de octubre de 1996","29 de octubre de 1996"," "
"Asociación Americana de Calidad Sección 1500, Inc.","05-1101(4)-397","18 de septiembre de 2007","16 de septiembre de 2005"," "
"Asociación Amigos de la Comunidad de Edad Avanzada, Inc.-","96-1101(4)-212","27 de junio de 1996","27 de junio de 1996"," "
"Asociación Antituberculosa San Juan, Inc.","101(6)","11 de diciembre de 1972","17 de noviembre de 1972"," "
"Asociación Apoyo Integral Inc","2012-1101.01-174","29 de abril de 2013","1 de enero de 2012"," "
"Asociacion ASG,Inc","01-1101(6)-190","21 de diciembre de 2001","21 de diciembre de 2001"," "
"Asociación Azucarera  Cooperativa Lafayette","97-1101(8)-335","22 de enero de 1998","22 de enero de 1998"," "
"Asociación Baloncesto Cariduros Sub-21, Inc.","02-1101 (6)-226"," ","17 de diciembre de 2002"," "
"Asociación Benéfica Cristiana   Promotora de Desarrollo  Integral de Puerto Rico","85-101(6)-23","06 de febrero de 1986","22 de enero de 1986"," "
"Asociación Benéfica Cristiana Promotora de Desarrollo Integral de Puerto Rico (ABCPROCINPR),
Inc.","87-101(13)-103","22 de octubre de 1987"," "," "
"Asociación Benéfica de Ponce","85-101(6)_40"," "," "," "
"Asociación Benéfica de Ponce","85-101(6)-40","09 de abril de 1986","09 de abril de 1986"," "
"Asociación Bíblica Universitaria de Puerto Rico, Inc.","101(  )","27 de enero de 1965","27 de enero de 1965"," "
"Asociación Bíblica Universitaria de Puerto Rico, Inc.","101 ( )-"," ","27 de enero de 1965"," "
"Asociación Bíblica y Misionera, Inc.","92-101(6)-107","19 de febrero de 1993","19 de febrero de 1993"," "
"Asociación Bíblica y Misionera, Inc.","92-101(6)-46"," ","19 de febrero de 1993"," "
"Asociación Brisas del Mar El Maní Inc","02-1101()-230"," "," "," "
"Asociacion Cardiovascular del  Noroeste,Inc","99-1101(5)-28","21 de agosto de 2000","21 de agosto de 2000"," "
"Asociación Cardiovascular del Sur de Puerto  Rico, Inc.","101(6)","11 de diciembre de 1970","11 de diciembre de 1970"," "
"Asociación Católica de Scouters de la Tropa 55, Inc.","2012-1101.01-542","25 de noviembre de 2013","28 de julio de 1998"," "
"Asociación Central de  Balompié de Puerto Rico, Inc.","96-1101(6)-31","14 de mayo de 1996","14 de mayo de 1996"," "
"Asociación Changos de Naranjito, Inc.","2011-1101.01-311","15 de marzo de 2012","01 de enero de 2011"," "
"Asociación Chateau San Juan","2012-1101.01-879","18 de agosto de 2014","6 de mayo de 1986"," "
"Asociación Ciudadanos Impedidos de Puerto Rico","96-1101(4)-142","27 de junio de 1996"," "," "
"Asociación Cívica Cultural y Deportiva Río Jueyana Inc","2012-1101.01-326","19 de agsoto de 2013","27 de junio de 2005"," "
"Asociación Cívica de Villa  Capri, Inc.","101(6)","30 de junio de 1972","21 de junio de 1972"," "
"Asociación Cívica y Recreativa La Merced Inc","04-1101 ( )-389","03 de mayo de 2005","03 de mayo de 2005"," "
"Asociación Cívico - Recreativa Caparra Hills Inc","2012-1101.01-471","3 de marzo de 2014","2 de noviembre de 1970"," "
"Asociación Cívico Recreativade Residentes de Borinquen Gardens, Inc.","97-1101(6)-274","18 de agosto de 1998","18 de agosto de 1998"," "
"Asociación Clubes Autos Antiguos y Clásicos de P.R., Inc","2012-1101.01-165","10 de octubre de 2013","1 de enero de 2012"," "
"Asociación Coameña de la Edad de Oro, Incorporado","08-1101(6)-167","12 de noviembre de 2008","01 de octubre de 2007"," "
"Asociación Coameña Pro Desarrollo de Personascon Impedimentos","92-101(6)-29","27 de diciembre de 1993","04 de febrero de 1994"," "
"Asociación Codueños Yunque Mar Resort","2012-1101.01-1223","12 de febrero de 2015","29 de junio de 1988"," "
"Asociación Comunal San Isidro, Inc.","101(6)","26 de enero de 1971","26 de enero de 1971"," "
"Asociación Comunidad Valles del Lago Inc","2012-1101.01-887","8 de octubre de 2014","1 de febrero de 1996"," "
"Asociación Comunitaria Bo. Río Cañas, Inc.","07-1101(6)-122","16 de octubre de 2007","01 de enero de 2007"," "
"Asociación Comunitaria de Quebrada Arenas de Caguas Corp","2012-1101.01-590","3 de febrero de 2014","6 de febrero de 2007"," "
"Asociación Comunitaria de Residentes de Urbanización Parque del Monte, Inc. Barrio Cañabon
Caguas","10-11(6)-249","22 de octubre de 2010","01 de enero de 2010"," "
"Asociación Comunitaria Palmarejo II, Inc.","06-1101(6)-55","18 de enero de 2007","24 de febrero de 2006"," "
"Asociación Comunitaria y Recreativa de Jácanas Inc","2015-1101.01-37","19 de octubre de 2015","1 de enero de 2015"," "
"Asociación Condómines  Arcos en Suchville","96-1101(24)-317","10 de diciembre de 1996","10 de diciembre de 1996"," "
"Asociación Condómines Chalets del Bulevar","2012-1101.01-225","15 de marzo de 2013","24 de agosto de 2000"," "
"Asociación Condomines Cond Estela del Mar","03-1101 (23)-401","30 de abril de 2004"," "," "
"Asociación Condómines Condominio Borinquen Gardens","2012-1101.01-854","6 de junio de 2014","10 de octubre de 1994"," "
"Asociación Condómines Condominio Chalets de San Fernando","2012-1101.01-505","4 de octubre de 2013","11 de agosto de 2000"," "
"Asociación Condómines Condominio Estado 656","2012-1101.01-568","05 de diciembre de 2014","15 de mayo de 1982"," "
"Asociación Condómines Condominio Las Dalias","2012-1101.01-425","19 de diciembre de 2013","13 de marzo de 1970"," "
"Asociación Condómines Condominio Tenerife","2012-1101.01-390","26 de septiembre de 2013","10 de noviembre de 1987"," "
"Asociación Condómines Condominio Torruella","2012-1101.01-233","11 de abril de 2013","1 de septiembre de 1992"," "
"Asociación Condómines del Condominio Portofino","2014-1101.01-79","30 de septiembre de 2015","1 de enero de 2014"," "
"Asociación Condómines Paque Las Palomas","2012-1101.01-631","16 de diciembre de 2013","17 de noviembre de 1997"," "
"Asociación Condómines Paseo del Puerto","2012-1101.01-1136","15 de septiembre de 2014","2 de septiembre de 1999"," "
"Asociación Condómines Portales de Carolina","2009-1101(23)-371","16 de agosto de 2011","01 de julio de 2009"," "
"Asociación Condómines San Mateo Plaza","2012-1101.01-1262","09 de enero de 2015","01 de abril de 2012"," "
"Asociación Condómines Santa Anita","2012-1101.01-212","7 de marzo de 2013","9 de julio de 1979"," "
"Asociación Condómines The  Towers at Plaza Santa Cruz","98-1101(24)-79","02 de julio de 1998","02 de julio de 1998"," "
"Asociación Condómines Torres de Cervantes","2012-1101.01-772","30 de mayo de 2014","16 de abril de 1996"," "
"Asociación Condómines Veredas del Parque","2015-1101.01-216","26 de enero de 2017","27 de septiembre de 2001"," "
"Asociación Condómines Villas del Deportivo","2012-1101.01-206","27 de diciembre de 2013","12 de febrero de 1978"," "
"Asociación Condómines Vistas del Cacique","2013-1101.01-150","24 de agosto de 2015","1 de junio de 2012"," "
"Asociación Condominio Casa del Mar Resort","2012-1101.01-1173","27 de abril de 2015","17 de junio de 1994"," "
"Asociación Condominio Chalets de Bayamón","2012-1101.01-994","4 de noviembre de 2014","1 de enero de 1997"," "
"Asociación Condominio Concordia Garden II","2012-1101.01-723","22 de mayo de 2014","1 de noviembre de 1971"," "
"Asociación Condominio Da Vinci","2012-1101.01-1175","23 de abril de 2015"," ","Denegada"
"Asociación Condominio Domenech","2012-1101.01-1067","23 de enero de 2015","1 de enero de 2012"," "
"Asociación Condominio El Mirador Inc","2015-1101.01-131","23 de noviembre de 2016","21 de abril de 2015"," "
"Asociación Condominio Florimar Gardens","96-1101(24)-319","24 de enero de 1997"," "," "
"Asociación Condominio Hemi","2012-1101.01-303","24 de octubre de 2012","31 de agosto de 2003"," "
"Asociación Condominio Parque Centro","2015-1101.01-215","12 de diciembre de 2016","1 de agosto de 1981"," "
"Asociación Condominio Playas del Caribe","2014-1101.01-157","7 de mayo de 2016","16 de enero de 2004"," "
"Asociación Condominio Racquet Club","08-1101(23)-204","16 de marzo de 2009"," "," "
"Asociación Condominio Victoria del Mar","2012-1101.01-995","6 de julio de 2015","1 de enero de 2012"," "
"Asociación Corporaciones Especiales Propiedad"," ","06 de mayo de 2004"," "," "
"Asociación Corporaciones Especiales Propiedad de trabajadores"," ","06 de mayo de 2004"," "," "
"Asociación Cristiana de Familias Educadoras en el Hogar Inc","2013-1101.01-206","13 de agosto de 2013","1 de enero de 2013"," "
"Asociación Cristiana de Jóvenes de Ponce (Young  Men’s Christian Association of Ponce) (Ponce
YMCA)","93-101(6)-41","07 de junio de 1993","27 de marzo de 1996"," "
"Asociación Cristiana de Mujeres Jóvenes de Puerto Rico","96-1101(6)-66","27 de marzo de 1996"," "," "
"Asociación Cristiana Internacional, Inc.","96-1101(4)-556","18 de diciembre de 1996","18 de diciembre de 1996"," "
"Asociacion Cultural Albores,Inc","02-1101(4)-113","21 de junio de 2002"," "," "
"Asociación Cultural Hacienda Los Torres, Inc.","07-1101(4)-314","25 de enero de 2008"," "," "
"Asociación Cultural Recreativa 4Ext Country Club, Inc.","07-1101(6)-214","04 de febrero de 2008"," "," "
"Asociación Cultural y Recreativa BUCAPLAA, Inc.","94-101(22)-127","25 de abril de 1995"," "," "
"Asociación Damas Salesianas de Orocovis Corp","05-1101(6)-494","24 de agosto de 2006"," "," "
"Asociacion de  Agencias ComunalesDe P.R.,Inc","01-1101(4)-299","13 de mayo de 2002"," "," "
"Asociacion de  Condomines de Villas Las Brisas","00-1101(23)-192","03 de mayo de 2001","03 de mayo de 2001"," "
"Asociacion de  Empresarios de Toa Alta,Inc","01-1101()-103","25 de octubre de 2001"," ","Denegada"
"Asociacion de  Proveedores Competitivos de Telecomunicaciones,","98-1101(5)-231","09 de septiembre de 1999"," "," "
"Asociacion de  Recreacion y Deportes de Country Club  A,Inc","00-1101(6)-215","25 de octubre de 2001"," "," "
"Asociacion de  Recreacion y DeportesLa Reconquista,Inc","02-1101(4)-114","30 de agosto de 2002"," "," "
"Asociacion de  Residentes de la Urbanización Berwind Estates Inc","98-1101(24)-243","14 de enero de 1999"," "," "
"Asociacion de  Residentes de Rio Piedras Heights,Inc","98-1101(6)-186","21 de junio de 2001"," "," "
"Asociación de Acampadores de P.R., Incorporado","92-101(9)-66","6 de noviembre de 1992"," ","Actualizada 4 sept 2015 2012-
1101.01-1389"
"Asociacion de Acordeonistas de Puerto Rico,Inc","99-1101(4)-99","06 de julio de 1999"," "," "
"Asociación  de  Administradores  de  Asistencia  Económica  de   Puerto  Rico  para  Estudiantes
Universitarios, Inc.","96-1101(5)-67","04 de noviembre de 1996"," "," "
"Asociación de Administradores Legales (ALA) - Capítulo de Puerto Rico, Inc.","08-1101(5)-451","26 de agosto de 2008"," "," "
"Asociación de Agencias Publicitarias de Puerto Rico","95-1101(5)-170","27 de marzo de 1996"," "," "
"Asociacion de Agentes Agrícolas de Puerto Rico Inc","03-1101 ( )-272","01 de junio de 2005"," "," "
"Asociación de Agricultores  de Puerto Rico","96-1101(1)-141","31 de octubre de 1996"," "," "
"Asociación de Agricultores del Area Noroeste Inc","2014-1101.01-78","28 de junio de 2016"," ","Denegada"
"Asociación de Amigos de la Escuela de Medicina San Juan Bautista, Inc.","96-1101(4)-706","28 de febrero de 1997","28 de febrero de 1997"," "
"Asociacion de Apoyo  Educativo,Inc","98-1101(4)-212","14 de mayo de 1999"," "," "
"Asociación de Arrendadores de P. R., Inc.","96-1101(5)-703","14 de enero de 1997"," "," "
"Asociación de Atletismo Juvenil e  Infantil de P.R.","00-1101(6)-49","26 de junio de 2000"," "," "
"Asociacion de Autorealizacion,Inc","00-1101(4)-104","09 de octubre de 2000"," "," "
"Asociación de Baloncesto Caciques de Humacao, inc.","10-1101 (27)-153","29 de diciembre de 2010","01 de enero de 2010"," "
"Asociacion de Baloncesto de Torrimar, Inc.","82-101(6)-59","22 de julio de 1985"," "," "
"Asociación de Baloncesto de Torrimar, Inc.","07-1101(6)-244","25 de enero de 2008"," "," "
"Asociación de Baloncesto Grises de Humacao, Inc.","07-1101(27)-234","04 de septiembre de 2007"," "," "
"Asociación de Baloncesto Infantil de Luquillo, Inc.","09-1101 (6)-150","14 de enero de 2010","01 de enero de 2009"," "
"Asociación de BaloncestoIllesca, Inc.","97-1101(4)-104","23 de diciembre de 1997"," "," "
"Asociación de Bibliotecarios Escolares de Puerto Rico, Inc.","94-101(6)-88","22 de agosto de 1994"," "," "
"Asociación de Caballistas de Paso Fino del Oeste, Inc.","07-1101(6)-415","22 de febrero de 2008"," "," "
"Asociación de Camionerosde Bayamón Planta 3, Inc.","97-1101(  )-62","28 de octubre de 1997"," "," "
"Asociación de Carteros Local 869 - San Juan Inc","2012-1101.01-915","18 de agosto de 2014","22 de abril de 1964"," "
"Asociación de Centros de Salud Comunal de  Puerto Rico, Inc.","89-101(6)-416","30 de agosto de 1990"," "," "
"Asociación de Centros de Salud Primaria de Puerto rico, Inc.","89-101(6)-416"," ","20 de agosto de 2003"," "
"Asociacion de Ciudadanos de el  Paraiso,Inc","99-1101(7)-183","18 de abril de 2000"," "," "
"Asociación de Clubes de Tennis de Puerto Rico, Inc.","96-1101(7)-415","08 de julio de 1996"," "," "
"Asociación de Comerciantes  en Materiales de Construcción","85-101( )-83","08 de diciembre de 1986"," "," "
"Asociación de Comerciantes de Caguas, P. R.","101(6)","14 de junio de 1972"," "," "
"Asociación de Comerciantes del Viejo San Juan, Inc.","82-101(6)-31","20 de abril de 1982"," "," "
"Asociación de Comerciantes en Materiales de Construcción","2012-1101.01-277","21 de junio de 2013","29 de abril de 1955"," "
"Asociación de Comerciantes y Profesionales de Canóvanas, Inc.","08-1101( )-433","15 de septiembre de 2009"," ","Denegada"
"Asociación de Comerciantes y Profesionales de la Ave Roosevelt, Inc.","08-1101( )-150","20 de enero de 2009"," ","Denegada"
"Asociación de Comerciantes y Profesionales de Santurce","85-101(7)-58","29 de noviembre de 1988"," "," "
"Asociación de Comerciantes y Profesionales del Rio Grande Tradicional, Inc.","97-1101(6)-258","12 de noviembre de 1997"," "," "
"Asociacion de Companias de Seguros de Puerto Rico,Inc","96-1101(5)-783","21 de enero de 1999"," "," "
"Asociacion de Condomines  Condominio el  Castillo","01-1101(23)-227","09 de septiembre de 2002","09 de septiembre de 2002"," "
"Asociación de Condómines - Playa Azul III","2011-1101.01-86","17 de agosto de 2011","01 de diciembre de 2010"," "
"Asociación de Condómines Aquatika","2011-1101.01-78","29 de marzo de 2012","01 de octubre de 2008"," "
"Asociación de Condómines Banco Bilbao VizcayaPlaza (Banco Bilbao)","96-1101(4)-21","28 de febrero de 1997"," ","Denegada"
"Asociacion de Condomines Bosque Real"," ","20 de enero de 2004"," "," "
"Asociación de Condómines Caribe Medical Plaza","2012-1101.01-713","12 de mayo de 2014"," ","Denegada"
"Asociación de Condómines Cervantes I","2012-1101.01-1204","26 de enero de 2015","14 de agosto de 1986"," "
"Asociación de Condómines Cond McKinley 659","2012-1101.01-776","6 de junio de 2014","16 de julio de 2001"," "
"Asociación de Condomines Condominio Alturas de Piedras Blancas","2011-1101.01-398","18 de junio de 2012","2 de abril de 1996"," "
"Asociación de Condómines Condominio Cala de Hucares","02-1101 (23)-250","23 de septiembre de 2003","23 de septiembre de 2003"," "
"Asociación de Condómines Condominio Capital Center","96-1101(24)-320","16 de diciembre de 1996","16 de diciembre de 1996"," "
"Asociación de Condómines Condominio El Girasol","2012-1101.01-389","11 de julio de 2013","19 de septiembre de 1972"," "
"Asociación de Condómines Condominio Gallardo","2012-1101.01-650","4 de noviembre de 2013"," ","Denegada"
"Asociación de Condómines Condominio Hilltop Mansions","2011-1101.01-487","25 de octubre de 2012","11 de diciembre de 1978"," "
