"calendario","genero","institucion_de_procedencia","campus","program","gpa","igs","location_1"
"Calendario Académico 13-14","Masculino","0001421-E/S FLORENCIA GARCIA","HUMACAO","602403 - Grado Asociado en Terapia Física","3.60","319","
LAS PIEDRAS, PR 
(18.278409975000443, -65.81968667199965)"
"Calendario Académico 13-14","Masculino","0001152-E/S ANGEL P MILLAN ROHENA","BAYAMON","860318 - Bachillerato en Sistemas de Oficina","3.82","269","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Masculino","0002871-CAGUAS MILITARY ACADEMY","CAYEY","501202 - Bachillerato en Ciencias con concentración en Biología","4.00","324","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Femenino","0001530-E/S FRANCISCO MORALES RIVERA","CAYEY","500404 - Bachillerato en Artes en Educación Secundaria con concentración en Matemáticas","4.00","354","
NARANJITO, PR 
(18.33379665600046, -66.21724000599966)"
"Calendario Académico 13-14","Masculino","0002822-SAINT FRANCIS SCHOOL","RIOPIEDRAS","201204 - Bachillerato en Ciencias con concentración en Química","3.65","347","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001135-E/S DR JUAN J OSUNA","CAYEY","501204 - Bachillerato en Ciencias con concentración en Química","4.00","323","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Femenino","0001638-ESCUELA ESPEC UNIVERSITY GARDENS","RIOPIEDRAS","201202 - Bachillerato en Ciencias con concentración en Biología","3.79","349","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0001840-E/S OCUPACIONAL Y TECNICA DE YAUCO","PONCE","851231 - Bachillerato en Ciencias Naturales con concentración en Biomédica","3.95","348","
GUAYANILLA, PR 
(18.138530018000438, -66.78433664399967)"
"Calendario Académico 13-14","Femenino","0001281-E/S VOCACIONAL DRA MARIA SOCORRO LACOT","HUMACAO","600324 - Bachillerato en Administración de Empresas con concentración en Comercio Internacional","4.00","337","
MAUNABO, PR 
(18.061270005000438, -65.98028667399961)"
"Calendario Académico 13-14","Femenino","0001840-E/S OCUPACIONAL Y TECNICA DE YAUCO","RUM","301203 - Bachillerato en Ciencias en Pre-Médica(2003)","3.95","348","
GUAYANILLA, PR 
(18.138530018000438, -66.78433664399967)"
"Calendario Académico 13-14","Femenino","0002695-ACADEMIA SAN SEBASTIAN MARTIR","AGUADILLA","811202 - Bachillerato en Ciencias con concentración en Biología","3.79","323","
SAN SEBASTIAN, PR 
(18.395099988000425, -67.00910998599966)"
"Calendario Académico 13-14","Masculino","0001190-E/S JUAN A CORRETJER MONTES","RIOPIEDRAS","201202 - Bachillerato en Ciencias con concentración en Biología","4.00","380","
CIALES, PR 
(18.371556649000468, -66.46599665399964)"
"Calendario Académico 13-14","Femenino","0001152-E/S ANGEL P MILLAN ROHENA","CAROLINA","832016 - Grado Asociado en Diseño de Interiores","3.18","228","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Masculino","0001733-E/S PATRIA LATORRE RAMIREZ","AGUADILLA","810910 - Bachillerato en Artes con concentración en Música-Traslado Articulado RRP","3.77","303","
SAN SEBASTIAN, PR 
(18.395099988000425, -67.00910998599966)"
"Calendario Académico 13-14","Femenino","0001525-E/S DR JUAN JOSE MAUNEZ PIMENTEL","HUMACAO","600703 - Bachillerato en Ciencias en Enfermería","3.94","305","
NAGUABO, PR 
(18.29637998700042, -65.79297000999964)"
"Calendario Académico 13-14","Femenino","0002988-COLEGIO SAN VICENTE DE PAUL","BAYAMON","860910 - Bachillerato en Artes concentración en Música-Traslado Articulado RRP","3.43","295","
TRUJILLO ALTO, PR 
(18.380036652000456, -66.02360000199963)"
"Calendario Académico 13-14","Femenino","0002988-COLEGIO SAN VICENTE DE PAUL","CAROLINA","831622 - Bachillerato en Artes Ciencias Sociales en Justicia Criminal conc en Ley y Sociedad","3.43","295","
TRUJILLO ALTO, PR 
(18.380036652000456, -66.02360000199963)"
"Calendario Académico 13-14","Femenino","0002903-CUPEYVILLE SCHOOL","RIOPIEDRAS","200310 - Bachillerato Administración Empresas con concentración en Gerencia de Recursos Humanos","3.38","294","
TRUJILLO ALTO, PR 
(18.380036652000456, -66.02360000199963)"
"Calendario Académico 13-14","Masculino","0002939-COLEGIO DE LA INMACULADA CONCEPCION","RIOPIEDRAS","200433 - Bachillerato en Artes en Educación con concentración en Recreación","3.30","288","
VEGA BAJA, PR 
(18.49414997700046, -66.40055999699962)"
"Calendario Académico 13-14","Masculino","0002888-COLEGIO BAUTISTA DE CAGUAS","BAYAMON","864002 - Bachillerato en Ciencias de Computadoras","3.44","310","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Femenino","0002739-COLEGIO SANTISIMA TRINIDAD","CAROLINA","832016 - Grado Asociado en Diseño de Interiores","3.16","246","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0001770-E/S LUIS MUNOZ RIVERA","UTUADO","822707 - Grado Asociado en Tecnología de Industria Pecuaria","2.24","175","
UTUADO, PR 
(18.34954332400042, -66.73568998899964)"
"Calendario Académico 13-14","Masculino","0002763-SECUNDARIA MONTESSORI DE PR","CAROLINA","830305 - Bachillerato en Administración de Empresas con concentración en Gerencia","3.55","327","
GUAYNABO, PR 
(18.440283314000453, -66.11327669099967)"
"Calendario Académico 13-14","Femenino","0002918-CENTRO INSTRUCCION Y EDUCACION MODERNA","BAYAMON","860440 - Bachillerato en Educación Pre-escolar y Elemental","3.83","284","
TOA BAJA, PR 
(18.47601332500045, -66.18318334199967)"
"Calendario Académico 13-14","Femenino","0002888-COLEGIO BAUTISTA DE CAGUAS","RIOPIEDRAS","200807 - Bachillerato en Ciencias con concentración en Nutrición y Dietética","3.96","313","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Masculino","0001821-E/S URBANA NUEVA RAMON QUINONES MEDINA","HUMACAO","601210 - Bachillerato en Ciencias con concentración en Química Industrial","4.00","320","
YABUCOA, PR 
(18.126146670000423, -65.90732001899966)"
"Calendario Académico 13-14","Masculino","0001421-E/S FLORENCIA GARCIA","HUMACAO","601210 - Bachillerato en Ciencias con concentración en Química Industrial","3.60","319","
LAS PIEDRAS, PR 
(18.278409975000443, -65.81968667199965)"
"Calendario Académico 13-14","Femenino","0002998-COLEGIO SANTISIMO ROSARIO","PONCE","851620 - Bachillerato en Artes en Ciencias Sociales con concentración en Psicología y Salud Mental","3.50","300","
GUANICA, PR 
(18.033676673000457, -66.95284331999966)"
"Calendario Académico 13-14","Femenino","0002970-COLEGIO SAN JOSE","RUM","301204 - Bachillerato en Ciencias en Química(2003)","3.58","318","
SAN GERMAN, PR 
(18.174113357000465, -67.05098999199964)"
"Calendario Académico 13-14","Femenino","0002806-COLEGIO RADIANS","RIOPIEDRAS","201202 - Bachillerato en Ciencias con concentración en Biología","3.91","339","
GURABO, PR 
(18.311056650000467, -65.98620334899965)"
"Calendario Académico 13-14","Femenino","0001040-E/S OCUPACIONAL URBANA","CAYEY","501201 - Bachillerato en Ciencias Naturales","3.88","319","
AGUAS BUENAS, PR 
(18.302256655000463, -66.06795334799966)"
"Calendario Académico 13-14","Femenino","0001281-E/S VOCACIONAL DRA MARIA SOCORRO LACOT","PONCE","850419 - Bachillerato en Artes en Educación Elemental","3.74","267","
ARROYO, PR 
(18.040500006000457, -66.05747668999965)"
"Calendario Académico 13-14","Femenino","0002960-COLEGIO SAN ANTONIO","RIOPIEDRAS","209877 - Programa de Destrezas-Humanidades","3.32","263","
TRUJILLO ALTO, PR 
(18.380036652000456, -66.02360000199963)"
"Calendario Académico 13-14","Masculino","0001587-E/S JUAN SERRALLES","PONCE","850501 - Bachillerato en Ciencias en Ingeniería Civil-Traslado Articulado RUM","4.00","347","
COTO LAUREL, PR 
(39.52368635500045, -99.11415045099966)"
"Calendario Académico 13-14","Masculino","0003881-OTRAS ESC SUP DE ESTADOS UNIDOS","RIOPIEDRAS","200303 - Bachillerato Administración Empresas con concentración en Economía","3.48","294","
FAJARDO, PR 
(18.391436643000475, -65.59305335299962)"
"Calendario Académico 13-14","Femenino","0001156-E/S DR GILBERTO CONCEPCION DE GRACIA","CAROLINA","832012 - Grado Asociado en Ingeniería Mecánica con concentración en Mantenimiento Industrial","3.15","250","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Masculino","0002914-ACADEMIA DISCIPULOS DE CRISTO DE BAYAMON","RIOPIEDRAS","201603 - Bachillerato en Artes con concentración en Economía","3.78","339","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0001201-E/S VOCACIONAL RUTH E CRUZ","CAYEY","500401 - Bachillerato en Artes en Educación Secundaria con concentración en Ciencias Naturales","3.45","298","
CAYEY, PR 
(18.168636673000435, -66.09474668699966)"
"Calendario Académico 13-14","Femenino","0002988-COLEGIO SAN VICENTE DE PAUL","CAROLINA","831621 - Bachillerato en Artes Ciencias Sociales en Justicia Criminal conc en Psicología Forense","3.43","302","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0001820-E/S VOCACIONAL TEODORO AGUILAR MORA","HUMACAO","600317 - Bachillerato en Administración de Sistemas de Oficina","3.82","284","
YABUCOA, PR 
(18.126146670000423, -65.90732001899966)"
"Calendario Académico 13-14","Femenino","0001470-E/S ALFONSO CASTA MARTINEZ","HUMACAO","600310 - Bachillerato en Administración de Empresas con concentración en Recursos Humanos","4.00","283","
MAUNABO, PR 
(18.061270005000438, -65.98028667399961)"
"Calendario Académico 13-14","Masculino","0002799-COLEGIO SONIFEL","CAROLINA","833104 - Bachillerato en Ciencias en Enfermería-Traslado Articulado RCM","3.85","308","
FAJARDO, PR 
(18.391436643000475, -65.59305335299962)"
"Calendario Académico 13-14","Femenino","0002903-CUPEYVILLE SCHOOL","RIOPIEDRAS","201201 - Bachillerato en Ciencias con concentración en Estudios Interdisciplinarios","3.93","334","
TRUJILLO ALTO, PR 
(18.380036652000456, -66.02360000199963)"
"Calendario Académico 13-14","Masculino","0001638-ESCUELA ESPEC UNIVERSITY GARDENS","RIOPIEDRAS","201206 - Bachillerato en Ciencias con concentración en Física","3.41","321","
TOA BAJA, PR 
(18.47601332500045, -66.18318334199967)"
"Calendario Académico 13-14","Masculino","0001145-E/S MIGUEL F SANTIAGO ECHEGARAY","RIOPIEDRAS","200411 - Bach Artes Educación Secundaria con concentración en Enseñanza Inglés Hispanoparlantes","3.58","305","
LARES, PR 
(18.368009988000438, -66.89100998399965)"
"Calendario Académico 13-14","Femenino","0002705-ACADEMIA PRESBITERIANA","ARECIBO","840302 - Bachillerato en Administración de Empresas concentración en Contabilidad","3.40","268","
RIO GRANDE, PR 
(18.423009996000474, -65.82873668799965)"
"Calendario Académico 13-14","Masculino","0001040-E/S OCUPACIONAL URBANA","CAROLINA","832012 - Grado Asociado en Ingeniería Mecánica con concentración en Mantenimiento Industrial","3.03","270","
AGUAS BUENAS, PR 
(18.302256655000463, -66.06795334799966)"
"Calendario Académico 13-14","Masculino","0002961-COLEGIO SAN IGNACIO DE LOYOLA","RIOPIEDRAS","200317 - Bachillerato en Administración de Sistemas de Oficina","3.02","287","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0002961-COLEGIO SAN IGNACIO DE LOYOLA","RUM","300501 - Bachillerato en Ciencias en Ingeniería Civil","3.84","359","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001733-E/S PATRIA LATORRE RAMIREZ","RUM","300703 - Bachillerato en Ciencias en Enfermería(2005)","4.00","341","
SAN SEBASTIAN, PR 
(18.395099988000425, -67.00910998599966)"
"Calendario Académico 13-14","Femenino","0001159-E/S LUZ AMERICA CALDERON BIRRIEL","CAYEY","501205 - Bachillerato en Ciencias con concentración en Matemáticas","3.63","305","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0002960-COLEGIO SAN ANTONIO","RIOPIEDRAS","200601 - Bachillerato en Artes en Estudios Generales","2.80","307","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0002807-COLEGIO NTRA SRA DE LOURDES","RIOPIEDRAS","200302 - Bachillerato Administración Empresas con concentración en Contabilidad","3.58","317","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0001531-E/S CON DEPTO OCUP RUBEN RODRIGUEZ FIGUEROA","BAYAMON","860304 - Bachillerato en Administración de Empresas con concentración en Finanzas","3.62","271","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0001740-E/S ELVIRA M COLON NEGRON","PONCE","850311 - Bachillerato en Administración de Empresas con concentración en Mercadeo","3.70","278","
SANTA ISABEL, PR 
(18.042326681000475, -66.42630332199963)"
"Calendario Académico 13-14","Masculino","0002846-BAYAMON MILITARY ACADEMY","ARECIBO","841224 - Bachillerato en Ciencias concentración en Ciencias de Cómputos","3.21","265","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0002806-COLEGIO RADIANS","RUM","300113 - Bachillerato en Ciencias Agrícolas en Agronegocios (2005)","3.26","260","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Masculino","0002907-COLEGIO SAN FELIPE","ARECIBO","840448 - Bachillerato en Artes en Educación con concentración en Educación Física-Nivel Elemental","3.35","224","
QUEBRADILLAS, PR 
(18.491656645000432, -66.94465997699962)"
"Calendario Académico 13-14","Femenino","0001821-E/S URBANA NUEVA RAMON QUINONES MEDINA","CAROLINA","831622 - Bachillerato en Artes Ciencias Sociales en Justicia Criminal conc en Ley y Sociedad","3.70","292","
YABUCOA, PR 
(18.126146670000423, -65.90732001899966)"
"Calendario Académico 13-14","Femenino","0002834-FAJARDO COMMUNITY PRIVATE SCHOOL","HUMACAO","600305 - Bachillerato en Administración de Empresas con concentración en Gerencia","3.87","283","
FAJARDO, PR 
(18.391436643000475, -65.59305335299962)"
"Calendario Académico 13-14","Masculino","0001645-E/S VOCACIONAL METROPOLITANA MIGUEL SUCH","RIOPIEDRAS","200317 - Bachillerato en Administración de Sistemas de Oficina","3.63","285","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001111-E/S EN BELLAS ARTES PABLO CASALS","CAROLINA","830318 - Bachillerato en Sistemas de Oficina","3.72","258","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Masculino","0002978-COLEGIO DE LA INMACULADA","CAROLINA","830305 - Bachillerato en Administración de Empresas con concentración en Gerencia","3.30","271","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Femenino","0001733-E/S PATRIA LATORRE RAMIREZ","RIOPIEDRAS","200432 - Bachillerato en Artes en Educación Elemental con concentración en 4To-6To Grado","4.00","294","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Femenino","0001114-E/S VOCACIONAL TOMAS C ONGAY","BAYAMON","861225 - Bachillerato en Ciencias Naturales con concentración en Biología-Enfoque Humano","3.79","316","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0001090-E/S FERNANDO SURIA CHAVES","ARECIBO","844506 - Bachillerato en Ciencias con concentración en Microbiología","4.00","310","
BARCELONETA, PR 
(18.49055331200043, -66.56318997999966)"
"Calendario Académico 13-14","Masculino","0001070-E/S DRA MARIA CADILLA DE MARTINEZ","ARECIBO","841624 - Bachillerato en Ciencias Sociales concentración en Psicología Industrial Organizacional","3.18","310","
ARECIBO, PR 
(18.494389977000424, -66.62700999999964)"
"Calendario Académico 13-14","Femenino","0001640-E/S RAMON VILA MAYO","BAYAMON","860440 - Bachillerato en Educación Pre-escolar y Elemental","3.53","292","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0001390-E/S LEONIDES MORALES RODRIGUEZ","RUM","301204 - Bachillerato en Ciencias en Química(2003)","4.00","342","
LAJAS, PR 
(18.06632668800046, -67.06825999499966)"
"Calendario Académico 13-14","Masculino","0002915-COLEGIO CATOLICO NOTRE DAME","CAYEY","501202 - Bachillerato en Ciencias con concentración en Biología","3.71","322","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Femenino","0001758-E/S DR PEDRO ALBIZU CAMPOS","BAYAMON","861226 - Bachillerato en Ciencias Naturales con concentración en Biología","3.50","306","
TOA BAJA, PR 
(18.47601332500045, -66.18318334199967)"
"Calendario Académico 13-14","Masculino","0001300-E/S MARGARITA JANER PALACIOS","BAYAMON","862009 - Grado Asociado en Tecnología de la Ingeniería Civil","3.23","234","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0002777-PUERTO RICO ADVANCEMENT COLLEGE INC","CAROLINA","831622 - Bachillerato en Artes Ciencias Sociales en Justicia Criminal conc en Ley y Sociedad","3.61","286","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Femenino","0001620-ESCUELA SECUNDARIA DE LA UPR","RIOPIEDRAS","201212 - Bachiller en Ciencias con concentración en Ciencias Ambientales","3.10","319","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Femenino","0002915-COLEGIO CATOLICO NOTRE DAME","CAYEY","501202 - Bachillerato en Ciencias con concentración en Biología","3.91","333","
GURABO, PR 
(18.311056650000467, -65.98620334899965)"
"Calendario Académico 13-14","Femenino","0001505-E/S MARCELINO RODRIGUEZ ROMAN","AGUADILLA","811202 - Bachillerato en Ciencias con concentración en Biología","4.00","295","
MOCA, PR 
(18.461009990000434, -67.05658999199966)"
"Calendario Académico 13-14","Masculino","0002933-COLEGIO SAN ANTONIO","AGUADILLA","811202 - Bachillerato en Ciencias con concentración en Biología","3.30","316","
QUEBRADILLAS, PR 
(18.491656645000432, -66.94465997699962)"
"Calendario Académico 13-14","Masculino","0001240-E/S JOSE S ALEGRIA","ARECIBO","840305 - Bachillerato en Administración de Empresas con concentración en Gerencia","3.38","255","
DORADO, PR 
(18.480246659000443, -66.27008335099964)"
"Calendario Académico 13-14","Masculino","0001210-E/S RAMON JOSE DAVILA","PONCE","851220 - Bachillerato Ciencias en Matemáticas en Ciencias de Computación-Traslado Articulado RUM","3.90","310","
COAMO, PR 
(18.176566680000462, -66.44423666599965)"
"Calendario Académico 13-14","Femenino","0002893-COLEGIO LA PIEDAD","RIOPIEDRAS","201505 - Bachillerato Artes en Comunicación con concentración en Relaciones Públicas y Publicidad","3.50","321","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Femenino","0001781-E/S ILEANA DE GRACIA","UTUADO","822702 - Grado Asociado en Tecnología de la Horticultura","2.42","193","
VEGA ALTA, PR 
(18.485569990000442, -66.33767333099962)"
"Calendario Académico 13-14","Femenino","0001170-E/S MIGUEL MELENDEZ MUNOZ","UTUADO","823101 - Grado Asociado en Ciencias en Ciencias Naturales","3.29","276","
CAYEY, PR 
(18.168636673000435, -66.09474668699966)"
"Calendario Académico 13-14","Masculino","0001152-E/S ANGEL P MILLAN ROHENA","CAROLINA","832006 - Grado Asociado en Tecnología Automotriz","3.27","212","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Masculino","0001072-E/S VOCACIONAL ANTONIO LUCCHETTI","CAROLINA","831622 - Bachillerato en Artes Ciencias Sociales en Justicia Criminal conc en Ley y Sociedad","3.86","296","
SABANA HOYOS, PR 
(39.52368635500045, -99.11415045099966)"
"Calendario Académico 13-14","Masculino","0001765-E/S VOCACIONAL PETRA ZENON DE FABERY","BAYAMON","864002 - Bachillerato en Ciencias de Computadoras","3.12","318","
SAN JUAN, PR 
(18.471946656000455, -66.12485334199965)"
"Calendario Académico 13-14","Masculino","0002852-ACADEMIA SAN AGUSTIN Y ESPIRITU SANTO","RUM","301606 - Bachillerato en Artes en Sociología(2005)","2.98","267","
SAN GERMAN, PR 
(18.174113357000465, -67.05098999199964)"
"Calendario Académico 13-14","Femenino","0002950-COLEGIO SAN CONRADO","RUM","301202 - Bachillerato en Ciencias en Biología(2003)","3.86","333","
PONCE, PR 
(18.172323350000454, -66.59130332099966)"
"Calendario Académico 13-14","Masculino","0001410-E/S EVA Y PATRIA CUSTODIO FRANQUI","RUM","300502 - Bachillerato en Ciencias en Ingeniería Eléctrica(2003)","3.81","332","
MAYAGUEZ, PR 
(18.273449985000468, -67.15902331699965)"
"Calendario Académico 13-14","Masculino","0002869-COLEGIO SAN JUAN APOSTOL Y EVANGELISTA","RUM","301220 - Bachillerato en Ciencias en Matemáticas en Ciencias de Computación(2003)","4.00","327","
LAS PIEDRAS, PR 
(18.278409975000443, -65.81968667199965)"
"Calendario Académico 13-14","Masculino","0001774-E/S JOSE VIZCARRONDO ANESES","UTUADO","823101 - Grado Asociado en Ciencias en Ciencias Naturales","3.03","295","
ANGELES, PR 
(39.52368635500045, -99.11415045099966)"
"Calendario Académico 13-14","Masculino","0001100-E/S VOCACIONAL PABLO COLON BERDECIA","BAYAMON","862013 - Grado Asociado en Tecnología de Instrumentación","3.88","283","
BARRANQUITAS, PR 
(18.249683322000465, -66.31458997599964)"
"Calendario Académico 13-14","Femenino","0002936-ACADEMIA CRISTO REY","PONCE","851620 - Bachillerato en Artes en Ciencias Sociales con concentración en Psicología y Salud Mental","3.71","326","
PONCE, PR 
(18.172323350000454, -66.59130332099966)"
"Calendario Académico 13-14","Femenino","0001850-OTRAS ESC SUP PUBLICAS DE PR","CAROLINA","830318 - Bachillerato en Sistemas de Oficina","4.00","264","
LOIZA, PR 
(18.46053332900044, -65.99130335599966)"
"Calendario Académico 13-14","Femenino","0001841-E/S LOAIZA CORDERO DEL ROSARIO","RIOPIEDRAS","200911 - Bachillerato en Artes con concentración en Drama","3.91","335","
YAUCO, PR 
(18.17120334000043, -66.82725664399965)"
"Calendario Académico 13-14","Femenino","0002928-ACADEMIA SAN JOSE HIGH SCHOOL","CAROLINA","830408 - Bachillerato Artes en Educación Secundaria concentración en Educación Tecnología","3.30","263","
BAYAMON, PR 
(18.430783310000436, -66.16910667999963)"
"Calendario Académico 13-14","Femenino","0001055-E/S BONIFACIO SANCHEZ JIMENEZ","CAROLINA","831622 - Bachillerato en Artes Ciencias Sociales en Justicia Criminal conc en Ley y Sociedad","3.52","312","
AIBONITO, PR 
(18.180233340000427, -66.24227669099963)"
"Calendario Académico 13-14","Femenino","0002906-COLEGIO MARISTA","RUM","301604 - Bachillerato en Artes en Ciencias Políticas(2005)","3.03","304","
GUAYNABO, PR 
(18.440283314000453, -66.11327669099967)"
"Calendario Académico 13-14","Masculino","0003856-COLEGIO ANGEL DAVID (AD COLLEGE)","UTUADO","823006 - Grado Asociado en Artes en Ciencias Sociales","3.44","213","
GUAYNABO, PR 
(18.440283314000453, -66.11327669099967)"
"Calendario Académico 13-14","Femenino","0001134-E/S MANUELA TORO MORICE","HUMACAO","602502 - Grado Asociado en Tecnología Química","3.50","318","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Femenino","0002947-ACADEMIA MARIA REINA","RIOPIEDRAS","200915 - Bachillerato en Artes con concentración en Historia del Arte","2.98","299","
CAROLINA, PR 
(18.457726662000425, -65.99294000999964)"
"Calendario Académico 13-14","Femenino","0002922-COLEGIO LOURDES","UTUADO","822708 - Grado Asociado en Tecnología de la Producción Agrícola","3.10","228","
CIDRA, PR 
(18.22988666100042, -66.14623667799964)"
"Calendario Académico 13-14","Masculino","0002914-ACADEMIA DISCIPULOS DE CRISTO DE BAYAMON","BAYAMON","862009 - Grado Asociado en Tecnología de la Ingeniería Civil","3.02","262","
TOA BAJA, PR 
(18.47601332500045, -66.18318334199967)"
"Calendario Académico 13-14","Femenino","0001111-E/S EN BELLAS ARTES PABLO CASALS","BAYAMON","860440 - Bachillerato en Educación Pre-escolar y Elemental","3.83","325","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Femenino","0001031-E/S JUAN SUAREZ PELEGRINA","AGUADILLA","811606 - Bachillerato en Artes en Sociología-Traslado Articulado RUM","3.60","263","
AGUADILLA, PR 
(18.513219982000464, -67.11387331799966)"
"Calendario Académico 13-14","Femenino","0002915-COLEGIO CATOLICO NOTRE DAME","RIOPIEDRAS","201202 - Bachillerato en Ciencias con concentración en Biología","4.00","360","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Masculino","0001240-E/S JOSE S ALEGRIA","ARECIBO","840703 - Bachillerato en Ciencias en Enfermería","3.71","318","
DORADO, PR 
(18.480246659000443, -66.27008335099964)"
"Calendario Académico 13-14","Masculino","0002908-COLEGIO DE LA SALLE","BAYAMON","864002 - Bachillerato en Ciencias de Computadoras","3.79","303","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Femenino","0002822-SAINT FRANCIS SCHOOL","RIOPIEDRAS","200431 - Bachillerato en Artes en Educación Elemental con concentración en K-3Er Grado","3.50","296","
CANOVANAS, PR 
(18.412783311000453, -65.89785000199964)"
"Calendario Académico 13-14","Masculino","0001130-E/S JOSE GAUTIER BENITEZ","CAYEY","500302 - Bachillerato en Administración de Empresas con concentración en Contabilidad","3.31","281","
CAGUAS, PR 
(18.312719976000437, -66.04029001999965)"
"Calendario Académico 13-14","Masculino","0002822-SAINT FRANCIS SCHOOL","AGUADILLA","812014 - Grado Asociado en Tecnología Electrónica","2.95","249","
TRUJILLO ALTO, PR 
(18.380036652000456, -66.02360000199963)"
"Calendario Académico 13-14","Femenino","0001215-E/S JOSE FELIPE ZAYAS","PONCE","850412 - Bachillerato en Artes en Educación con concentración en Arte-Traslado Articulado RRP","3.70","299","
COAMO, PR 
(18.176566680000462, -66.44423666599965)"
"Calendario Académico 13-14","Femenino","0002806-COLEGIO RADIANS","RIOPIEDRAS","200601 - Bachillerato en Artes en Estudios Generales","3.98","347","
LEVITTOWN, PR 
(39.52368635500045, -99.11415045099966)"
"Calendario Académico 13-14","Femenino","0001111-E/S EN BELLAS ARTES PABLO CASALS","BAYAMON","860911 - Bachillerato en Artes concentración en Drama-Traslado Articulado RRP","3.83","325","
TOA ALTA, PR 
(18.40139665600043, -66.23430667699967)"
"Calendario Académico 13-14","Masculino","0002903-CUPEYVILLE SCHOOL","RIOPIEDRAS","201604 - Bachillerato en Artes con concentración en Ciencias Políticas","3.99","365","
TRUJILLO ALTO, PR 
(18.380036652000456, -66.02360000199963)"
"Calendario Académico 13-14","Masculino","0001350-E/S FRANCISCO MENDOZA ALVAREZ","RUM","300505 - Bachillerato en Ciencias en Ingeniería Química","3.90","327","
ISABELA, PR 
(18.515853329000436, -67.09106999699964)"
"Calendario Académico 13-14","Masculino","0002891-CARVIN SCHOOL INC","RIOPIEDRAS","201204 - Bachillerato en Ciencias con concentración en Química","3.90","348","
CANOVANAS, PR 
(18.412783311000453, -65.89785000199964)"
"Calendario Académico 13-14","Femenino","0002885-COLEGIO MARIA AUXILIADORA","CAROLINA","830304 - Bachillerato en Administración de Empresas con concentración en Finanzas","3.43","275","
CANOVANAS, PR 
(18.412783311000453, -65.89785000199964)"
