"lic","nombre_de_la_institucion","direccion_fisica","pueblo_fisico","zip_code_fisico","direccion_postal","pueblo_postal","zip_code_postal","telefono_primario","telefono_secundario","email_primario","email_secundario","fax_primario","fax_secundario","nombre_del_director","matricula_total"
"V 28-03","Liberty Technical College","Carr. # 735 Km. 0.5, Bo. Beatriz, Sector Montellanos","Cayey","00737","PO BOX 371298","Cayey","00737","(787) 738-4828","(787) 738-4828","a_castrodad@libertytc.org","info@libertytc.org","(787) 738-4881","(787) 738-4828","Arturo Castrodad Rodriguez, Director Ejecutivo","86"
"V 28-06","Universidad del Turabo Centro Universitario Cayey","Edificio Plaza Empresarial, primer y tercer piso, 20 Ave. Antonio R. Barceló, Suite 107B","Cayey","00737","PO BOX 9000, Suite 281","Cayey","00737","(787) 743-7979","(787) 263-2177","keroche@suagm.edu","ut_mflores@suagm.edu","(787) 746-6860","(787) 263-2177","Juan Rosado","16"
"V 30-05","Carib Technological Institute, Inc.","Avenida Borinquen 2012","San Juan","00915","PMB 407, Calle 39 -1 VV-1, Urb. Santa JuanitaL","Bayamón","00956","(787) 798-9595","(787) 644-0512","luislafo717@gmail.com","luislafo717@gmail.com","(787) 798-9595","(787) 798-9597","Luis E. Lafontaine Montero","31"
"V 30-06","Universidad Metropolitana Escuela de Estudios Técnicos","Calle Georgetti #22, Carr. 156","Comerio","00782","PO BOX 1021","Comerio","00782","(787) 875-4150","(787) 875-4155","um_laponte@suagm.edu","livega@suagm.edu","(787) 875-4266","(787) 759-7663","Jessie Hernández","175"
"V 31-05","Universidad Interamericana de Puerto Rico, Recinto de Guayama","Carr. 744, Km. 1, Hm. 2, Bo. Machete","Guayama","00784","Call Box 10004","Guayama","00785","(787) 864-2222","(787) 864-5610","maria.aquiles@guayama.inter.edu","angela.dejesus@guayama.inter.edu","(787) 866-5006",,"Angela de Jesús Alicea, Rectora","41"
"V 31-08","Instituto de Banca y Comercio","Carr. #3 Km. 138.2  Edificio Iraola","Guayama","00784","RR-1 Box 6092","Guayama","00784","(787) 864-3220","(787) 686-1030","JaRivera@ibancapr.com","crosario3@ibancapr.com","(787) 864-4606","(787) 864-4606","Marisel Pagan Marchand","542"
"V 31-13","Instituto Tecnológico de Puerto Rico, Recinto de Guayama","Urb. Vives Calle Paseo del Pueblo #2","Guayama","00785","PO BOX 150","Guayama","00785","(787) 866-8522","(787) 866-8142","alvcollazo@yahoo.com",,"(787) 864-3350",,"Rafael Rivera Ortiz","0"
"V 32-02","Universidad del Turabo, Escuela de Estudios Técnicos","State Road 189, Km. 3.3","Gurabo","00778","PO BOX 3030","Gurabo","00778","(787) 743-7979","(787) 743-7979","keroche@suagm.edu","ut_mflores@suagm.edu","(787) 746-6860","(787) 743-7979","Maria Elena Flores Aponte","91"
"V 34-02","Myrangel Beauty Institute","Calle Muñoz Rivera, Núm. 57 y 100 Sur","San Lorenzo","00754","Calle Muñoz Rivera, Núm. 57 Sur","San Lorenzo","00754","(787) 736-0435","(787) 736-0435","crbadillo@yahoo.com","myrangel1@prtc.net","(787) 736-4991","(787) 736-3620","Myrna L. Laboy","105"
"V 34-03","Gavidia Fashion Institute.I.nc","Calle Luis Muñoz Rivera #155","San Lorenzo","00754","Calle Luis  Muñoz  Rivera #155","San Lorenzo","00754","(787) 736-3790","(787) 239-5634","gavidiafashion@hotmail.com","gavidiafashion@yahoo.com","(787) 715-2165",,"Amparo Gavidia Paz","11"
"V 49-02","Colegio Tecnológico y Comercial de Puerto Rico","165 Calle Paz Suite 2","Aguada","00602","PO BOX 960","Aguada","00602","(787) 868-2688","(787) 868-2673","ctcpr@prtc.net",,"(787) 868-2688","(787) 868-2673","Valentín Rivera Reyes","79"
"V 36-01","Puerto Rico Aviation Maintenance Institute","Antigua Base Naval Roosevelt Roads, Aeropuerto José Aponte de la Torre, Forrestal Drive, Esq. Langley Drive, Edif. 376","Ceiba","00735","PO BOX 422","Ceiba","00735","(787) 865-1300","(787) 773-6681","prami.ceiba@gmail.com","D36343@de.pr.gov","(787) 865-1300",,"Mario A. Massó Maldonado, Maestro Encargado","155"
"V 36-01.1","Puerto Rico Aviation Maintenance Institute (Centro de Extensión de Aguadilla)","Rafael Hernández International Airporting.Orlando Alarcon Ave. 576 Hangar Road","Aguadilla","00603","PO BOX 422","Ceiba","00735","(787) 865-1300","(787) 773-6681","prami.ceiba@gmail.com","massomm@de.pr.gov","(787) 865-1300",,"Mario A. Massó Maldonado, Maestro Encargado","0"
"V 37-04","Instituto de Banca y Comercio Recinto de Fajardo","Carr. #3, Km. 44.0, Calle Marginal, Bo. Quebrada Fajardo","Fajardo","00738","PO BOX 822","Fajardo","00961","(787) 860-6262","(787) 860-6262","jiperez@ibancapr.com","jalmodovar@ibancapr.com","(787) 860-6265","(787) 860-6262","Ann Coppin Miranda","310"
"V 37-06","Universidad Interamericana de Puerto Rico- Recinto de Fajardo","Calle Unión Batey Central, Carr. 195, Salida para el muelle de Vieques y Culebra","Fajardo","00738","Call Box 70003","Fajardo","00738","(787) 863-2390","(787) 860-2280","yolanda.ramos@fajardo.inter.edu","janys.garcia@fajardo.inter.edu","(787) 860-3470",,"Dr.Javier Martínez Ortiz, Rector","172"
"V 37-07","Modern Hairstyling Institute","#10 Oeste, Calle Dr. López (Primera y Segunda Planta)","Fajardo","00738","PO BOX 369","Bayamón","00960","(787) 778-0300","(787) 863-9911","e.lebron@modern.edu","dr.berrios@modern.edu","(787) 740-3980",,"Lenys Caraballo","85"
"V 37-09","Escuela Técnica de Electricidad","6 Calle Antonio R. Barceló","Fajardo","00738","6 Calle Antonio R. Barceló","Fajardo","00738","(787) 801-5555","(787) 801-5557","etefajardo@etepr.edu","smalvarado@etepr.edu","(787) 801-5557",,"Shala Alvarado Scott","56"
"V 37-11","Dewey University","Ave. General Valero #267","Fajardo","00738","PO BOX 19538","San Juan","00910","(787) 860-1212","(787) 753-0039","miguel.rivera@dewey.edu","miguel.rivera@dewey.edu","(787) 860-1245","(787) 860-1212","Elia Rosa","57"
"V 37-15","Northern Research & Training Institute","Calle Dr. López, Núm. 60, Esq. San Rafael","Fajardo","00738","185 Ave. F.D. Roosevelt, Suite 3D, San Juan","San Juan","00917","(787) 763-7113","(787) 692-7377","northerninstitute@prw.net","fuentesvalentin@prw.net","(787) 653-0050","(787) 763-7113","Dr. Luis Torres Luzunaris","0"
"V 38-03","Centro de Estudios Multidisciplinarios (CEM)","Calle Doctor Vidal # 8(Primera planta),Dr. Vidal  #6 (segunda planta), #52 Este (primera y segunda planta) y # 53, Esq. Masferr","Humacao","00791","Dr. Vidal # 8","Humacao","00791","(787) 850-8333","(787) 852-3750","hdavila@cemcollege.edu","davila.hectorm@gmail.com","(787) 850-7044","(787) 852-2530","Hector M. Davila Rivera","39"
"V 38-09","Humacao Community College","Calle Georgetti, Número 69 y Ave. Cruz Ortiz Stella #68, Esq. Calle Perla, Bo. Pueblo (Oficinas Administrativas y Salones)","Humacao","00792","PO BOX 9139","Humacao","00792","(787) 852-1430","(787) 285-2525","jmojica@hccpr.edu","bmorales@hccpr.edu","(787) 850-1577",,"Brenda L. Morales González","37"
"V 38-10","Industrial Technical College (Colegio Técnico Industrial)","Calle Francisco Vega #15,Dolores Cabrera #56,57","Humacao","00792","PO BOX 8480","Humacao","00792","(787) 656-8555","(787) 852-8806","itcollege@prtc.net","itcpr2003@yahoo.com","(787) 852-5501","(787) 852-8806","Jorge Dávila","118"
"V 38-10.1","Industrial Technical College (Centro de Extensión Educativa)","Calle Baldorioty No 44 Altos","Naguabo","00718","PO BOX 8480","Humacao","00791","(787) 906-4047","(787) 656-8555","naguabo@industrialtechnicalcollege.com","itcpr2003@yahoo.com","(787) 852-5501",,"RAFAELA RODRIGUEZ","26"
"V 38-13","Jessy Technical College","Urb. San Antonio A-8, Carr. PR-924, Bo. Pueblo","Humacao","00791","Urb. San Antonio A-8","Humacao","00791","(787) 449-7798","87-4779","jessytech1dia@gmail.com","jessytech1dia@gmail.com","(900) 000-0000","-0","Samuel Falcón","76"
"V 39-02","Centro de Desarrollo Educativo / CDE Development, Inc.","#7 Calle Teodomiro Delfaus","Juncos","00777","#7 Calle Teodomiro del Faus","Juncos","00777","(787) 946-0841","(787) 617-2281","cdedevelopmentinc@yahoo.com","edur_pr@yahoo.com","(787) 713-9999",,"Mirayda García Campagne","16"
"V 39-02.1","Centro de Desarrollo Educativo/CDE Development, Inc.","55 Rubianes, Ave. Severino Cuebas","Aguadilla","00603","#7 Calle Teodomiro del Faus","Juncos","00777","(787) 946-0841","(787) 617-2281","cdedevelopmentinc@yahoo.com",,"(787) 713-9999",,"Mirayda Garcia Campagne","0"
"V 39-02.2","Centro de Desarrollo Educativo / CDE Development, Inc. (Centro de Extensión -San Germán)","Carr. 2, Km. 170.3, Local 1, Edificio Pagán, Sector Hoconuco","San Germán","00683","#7 Calle Teodomiro del Faus","Juncos","00777","(787) 946-0841","(787) 617-2281","cdedevelopmentinc@yahoo.com","edur_pr@yahoo.com","(787) 713-9999",,"Mirayda García Campagne","0"
"V 39-02.3","Centro de Desarrollo Educativo / CDE Development, Inc. (Centro de Extensión Educativa)","Calle Santiago R Palmer #12","Mayagüez","00680","#7 Calle Teodomiro del Faus","Juncos","00777","(787) 617-2281","(787) 946-0841","cdedevelopmentinc@yahoo.com","edur_pr@yahoo.com","(787) 713-9999",,"Mirayda Garcia Campagne","0"
"V 40-02","Instituto de Las Piedras (AAFET)","Carr. 198, Km. 20.0, Bo. Ceiba","Las Piedras","00771","Num. 520 Ave. Constitución, Suite 1","San Juan","00901","(787) 733-5323","(787) 722-2190","mlvazquez@trabajo.pr.gov","mairaliz24@hotmail.com","(787) 733-7565",,"Carlos J. Saavedra Gutierrez","20"
"V 41-03","Politécnico Teresiano-Hermanas Carmelitas Teresas de San José, Inc.","Urb. Villas de Loíza, R-14, Calle 5, Bo. Canóvanas","Canóvanas","00729","PO BOX 868","Canóvanas","00729","(787) 886-2060","(787) 886-2007","hogaresteresatoda@yahoo.com","politecnicoteresiano@gmail.com","(787) 886-2075","(787) 886-2060","Lilliam Díaz, Directora","30"
"V 45-03","Monteclaro: Escuela de Hotelería y Artes Culinarias (Monteclaro: School of Hospitality and Culinary","Bo. Palmer, Carr. 955, Km. 4.6","Río Grande","00745","PO BOX 447, Palmer","Palmer","00721","(787) 888-1135","(787) 604-5982","mailbox@monteclaro.edu","agarcia@monteclaro.edu","-0",,"Wendy E. Maldonado Hayes","5"
"V 45-04","Puerto Rico Massage & Bodywork Institute, Inc.","Calle Loíza #2103, Local A, Urb. Ocean Park","San Juan","00911","Calle Loíza #2103,","San Juan","00911","(787) 728-0536","(787) 410-2450","ausuboazul@yahoo.com","ausuboazul@yahoo.com","(787) 410-2450",,"Carmen Rivera Batle","27"
"V 48-01","Centro Universitario de Yabucoa, Universidad Turabo; Escuela Estudios Técnicos Profesionales","Carr. PR 901, Km. 1.4, Bo. Juan Martín","Yabucoa","00767","PO BOX 25","Yabucoa","00767","(787) 266-2066","(787) 743-7979","keroche@suagm.edu","ut_mflores@suagm.edu","(787) 266-0250","(787) 746-6860","Glenda Bermúdez","70"
"V 49-04","Rosslyn Training Academy of Cosmetology, Inc.","Calle Paz # 213 (1er. y 2do. pisos)","Aguada","00602","Calle Paz # 213 (1er. y 2do. pisos)","Aguada","00602","(787) 868-2902","(787) 868-2902","rosslyntrainingacad@yahoo.com","rosslyntrainingacad@prtc.net","(787) 868-2902",,"Abraham Gonzalez","29"
"V 49-06","Colegio Técnico de Electricidad Galloza, Inc.","Carr. # 4416, Km. 2.0, Int. Bo. Piedras Blancas","Aguada","00602","HC 03 Box 32562","Aguada","00602","(787) 252-0922","(787) 938-6058","cteg99@gmail.com","rosriver99@gmail.com","-0",,"Héctor E. Galloza","27"
"V 49-07","Emma's Beauty Academy","Bo. Guanábano, Carr. #2 Interseccion Carr. # 417","Aguada","00602","PO BOX 2095","Mayaguez","00681","(787) 868-4711","(787) 868-4711","emmasbeautyacademy@yahoo.com","eba_mayaguez@coqui.net","(787) 252-0775",,"Sr. Carlos Ramos Camara, Rector","129"
"V 49-10","Escuela Comercial del Oeste, Inc.","Carr. 442, Km. 0.8, Interior, Bo. Espinal","Aguada","00602","Barrio Espinar #3, Sector Javier","Aguada","00602","(787) 368-4000","(787) 891-7808","mrvrealty18@gmail.com",,"(787) 891-7808",,"Juan Francisco Velázquez Cabán","5"
"V 50-01","Universal Technology College of Puerto Rico, Inc. (UNITEC)","Calle Comercio #111, #113 y  #39, Calle Betances #21, # 68 y #70 y Calle Progreso #8, 16 y #99","Aguadilla","00605","PO BOX 1955, Victoria Station","Aguadilla","00605","(787) 882-2065","(787) 882-2063","utcpresident@yahoo.com","directora_planificacion@unitecpr.net","(787) 891-2370",,"Profa. Keila López Rivera","113"
"V 50-03","Xtreme Career Institute","Calle José De Jesús Esteves #7","Aguadilla","00603","Calle José De Jesús Esteves #7","Aguadilla","00603","(787) 854-1119","(787) 854-1119","xtremecareer@gmail.com",,"(787) 854-1119","(787) 854-1119","Carmen Ocasio Padilla","0"
"V 50-07","Charlie's Guard Detective Bureau and Academy (Charlie's Academy)","Carr. 107 Km 3.1, Bo. Borinquen (Oficina Administrativa y Salones de Clases)","Aguadilla","00605","PO BOX 3087","Aguadilla","00605","(787) 882-7222","(787) 819-0829","mcorderoca@gmail.com","dediego@coqui.net","(787) 882-7233","(787) 882-7233","Leocadio Nieves Feliciano","56"
"V 50-10","Universidad Interamericana de Puerto Rico, Recinto de Aguadillla","Carr. 459, Km. 3.6, Bo. Corrales, Sector Calero","Aguadilla","00605","Apartado 20,000","Aguadilla","00605","(787) 891-0925","(787) 891-3450","eagesila@aguadilla.inter.edu","nramos@aguadilla.inter.edu","(787) 882-3020","(787) 882-6020","Dr. Elie A. Agésilas","148"
"V 50-13","Century College, Inc.","Calle Marginal Km 8.2 Carr. #2 jardines de Caparra","Bayamón","00959","Urb Sabanera 497 Camino Cambalache","Dorado","00907","(787) 786-6474","(787) 724-3017","centurycollege@msn.com","centurycollege@msn.com","(787) 946-3139","(787) 725-8633","Anna Sanfilippo","208"
"V 50-14","Automeca Technical College","Parque Industrial La Montaña, Calle B #932, Bo. La Montaña","Aguadilla","00605","PO BOX 4999","Aguadilla","00605","(787) 882-2828","(787) 882-2828","ocardona@automeca.com","dfernandez@automeca.com","(787) 779-6200","(787) 882-2828","Orlando Cardona Fernández","230"
"V 50-18","Universidad Metropolitana Escuela de Estudios Técnicos","Carr. Estatal Número 111, Km. 0.3","Aguadilla","00605","Apartado 70","Aguadilla","00605","(787) 882-7070","(787) 882-7070","um_laponte@suagm.edu","livega@suagm.edu","(787) 882-7105","(787) 759-7663","Prof. Luis A.  Ruiz Vargas","88"
"V 50-24","Ramey Job Corps","Belt Road, Edificio 760, Base Ramey","Aguadilla","00604","PO BOX 250463","Aguadilla","00604","(787) 890-2030","(787) 890-6507","cd.ramey@jobcorps.org","perez.joann@jobcorps.org","(787) 890-4749","(787) 890-7054","Osvaldo Ubiñas","159"
"V 50-25","Instituto de Aguadilla (NETO)","Ave. Ing. Alarcon esquina Arch dificio 605 y 609, Base Ramey","Aguadilla","00604","Apartado 250071, Ramey","Aguadilla","00604","(787) 890-2731","(787) 890-1430","tvalentin@trabajo.pr.gov","aafeteresa@gmail.com","(787) 890-2794",,"Teresa Valentin Rodriguez","59"
"V 50-27","Instituto de Banca y Comercio (Recinto de Aguadilla)","Carr. #2 KM 121.1 Bo. CAIMITAL ALTO","Aguadilla","00603","PO BOX 3963","Aguadilla","00605","(787) 891-4345","(787) 891-9403","mdelvalle@ibancapr.com",,"(787) 891-9406",,"MARILYN DEL VALLE QUILES","394"
"V 52-02","Universidad del Este","Bo. Miradero, Sector Conde Ávila, Carr. Número 100, Km. 4.8","Cabo Rojo","00623","Apartado 1159","Cabo Rojo","00623","(787) 255-2033","(787) 257-7373","mvelezr@suagm.edu","pamercado@suagm.edu","(787) 851-5775","(787) 257-8841","Mildred Huertas Solá","81"
"V 52-04","Instituto Vocacional Centro para el Desarrollo Educativo","Edificio Círculo de Recreo, Calle Dr. Veve #18, Esquina Calle Cruz","Mayagüez","00680","114 Jardines de Guanajibo","Mayagüez","00680","(787) 313-8666","(787) 313-8666","ccsiverio@yahoo.com",,"-0","(787) 313-8666","Heriberto Aponte Pachot","88"
"V 57-02","Mayaguez Institute of Technology","Calle Ramos Antonini (Este) #116","Mayagüez","00680","116 Calle Ramos Antonini E","Mayagüez","00638","(787) 833-2474","(787) 832-2774","mayaguezinstituteoftechnology@gmail.com","rafael.jimenez.1957@gmail.com","(787) 832-2774",,"Juan A. Orengo","73"
"V 57-03","MECH-TECH COLLEGE, LLC","Lote #43, Vía parque Industrial, Bo. Guanajibo","Mayagüez","00680","PO BOX 3121","Mayagüez","00681","(787) 744-1060","(787) 834-5225","edwincolon@mechtech.edu","ysierra@mechtech.edu","(787) 744-1035","(787) 832-8484","Julio Illanas","363"
"V 57-06","Emma's Beauty Academy","Calle Muñoz Rivera  Números 9, 10, 11 y 12 Oeste","Mayagüez","00681","PO BOX 2095","Mayagüez","00681","(787) 833-0980","(787) 833-2747","emmasbeautyacademy@yahoo.com","eba_mayaguez@coqui.net","(787) 833-0613",,"Sr. Carlos Ramos Cámara","172"
"V 57-11.0","Instituto de Banca y Comercio (Recinto)","75 Calle Tenerife, Carr. #2, Urb. Sultana","Mayagüez","00680","75 Calle Tenerife, Urb. Sultana","Mayagüez","00680","(787) 833-4647","(787) 833-4748","rrodriguez@ibancapr.com","blsanchez@ibancapr.com","(787) 833-4746","(787) 833-4746","Michael Bannett","549"
"V 57-12","Instituto Comercial de Puerto Rico Junior College (ICPR)","Calle La Candelaria # 80 Oeste y La Calle Candelaria #83 Oeste","Mayagüez","00680","PO BOX 1108","Mayagüez","00681","(787) 832-6000","(787) 832-6000","lvargas@icprjc.edu","sramirez@icprjc.edu","(787) 833-2237","(787) 832-6000","Sylvia Ramírez, Directora","26"
"V 57-20","MECH-TECH COLLEGE D.B.A. / Ramírez College","Lote #43 Via parque Industrial Bo. Guanajibo","Mayagüez","00680","PO BOX 3121","Mayagüez","00681","(787) 744-1060","(787) 834-5225","edwincolon@mechtech.edu","ysierra@mechtech.edu","(787) 744-1035","(787) 832-8484","Dr. Cesar Toro","0"
"V 57-23","Ponce Paramedical College, Inc.","Carr. Número 2, Avenida Hostos # 410, Km. 187.5, Bo. Sabalos (Hospital Ramón E. Betances:Advanced Cardiology Center)","Mayagüez","00680","PO BOX 800106","Coto Laurel","00780","(787) 831-5566","(787) 831-5566","wvelez1@popac.edu","rcruz@popac.edu","(787) 259-0169","(787) 831-5566","Carlos Torres _Director Asociado Interino","169"
"V 57-26","Escuela de Masajes RED","Calle Meditación #60 Altos","Mayagüez","00681","#60 Meditacion","Mayagüez","00681","(787) 832-7134","(787) 635-8772","yefrinred@gmail.com",,"(787) 832-7134",,"Yefrin Omar Rodríguez Escalón","2"
"V 57-27","Escuela Hotelera de San Juan - Mayaguez","Carr. 114, Km. 0.4, Solar B-14, Sector Western Industrial Park, Bo. Guanajibo","Mayagüez","00682","Edificio Rochelaise Center #35","Mayagüez","00682","(787) 806-4200","(787) 806-1345","apascual@escuelahotelera.com","mramos@escuelahotelera.edu","(787) 806-4200","(787) 759-7599","Marieva Ramos Acosta","382"
"V 57-28","Pontificia Universidad Católica de Puerto Rico, Recinto de Mayaguez","Calle Ramón Emeterio Betances  #482 Sur, Bo. Sábalos","Mayagüez","00681","PO BOX 1326","Mayagüez","00681","(787) 834-5151","(787) 834-5151","karen_morales@pucpr.edu","vperez@pucpr.edu","(787) 986-7026","(787) 831-8203","Olga Hernández de Patino","72"
"V 57-28.1","Pontificia Universidad Católica de PR - Centro Educativo de San Germán","Calle Hernández Álvarez, Bo. Pueblo","Mayagüez","00681","Apartado 1326","Mayagüez","00681","(787) 834-5151","(787) 834-5151","Karen_morales@pucpr.edu","vperez@pucpr.edu","(787) 986-7026","(787) 831-8203","Olga Hernández de Patiño",
"V 57-30","CEM COLLEGE","Calle Cristy #56","Mayagüez","00681","PO BOX 2982 Marina Station","Mayagüez","00681","(787) 986-7440","(787) 765-4210","cristina.rosado@cemcollege.edu","jcpagani@cemcollege.edu","(787) 986-7444","(787) 765-4210","Cristina Rosado Silva","23"
"V 57-31","World Training Academy, Inc.","Km 150.6 Carr. #2 Bo. Algarrobo","Mayagüez","00680","2185 Carretera #2","Bayamón","00960","(787) 805-0107","(787) 444-7769","info@worldtrainingacademy.com","hiram@worldtrainingacademy.com","(787) 805-0701",") -","HARRY ARCHILLA TRINIDAD","107"
"V 58-03","IBO Technology Course","Carr. #3 Km. 27.5 Bo Zarzal","Río Grande","00745","PO BOX 746","Rio Grande","00745","(787) 685-7939","(787) 896-5609","ibotcpr@gmail.com","ibodirector729@gmail.com","(787) 685-7939",,"Luis A. Vazquez Oquendo","136"
"V 58-09","Instituto de Banca y Comercio,  INC. Recinto de Moca","Carr. 111,  Km 4.5  Ave La Moca Bo. Pueblo","Moca","00676","145 Ave. La Moca","Moca","00676","(787) 818-0337","(787) 877-2292","htoro@ibancapr.com",,"(787) 877-2070",,"Hermit Toro Rodriguez","258"
"V 60-01","Academia Serrant, Inc.","Anbgel G. Martínez  #6","Sabana Grande","00637","# 8180 Calle Concordia","Ponce","00717","(787) 873-3900","(787) 873-3800","yanira@serrant.edu","hserrant@serrant.edu","(787) 842-4646","(787) 873-3800","Irma Garcia","61"
"V 61-04","Universidad Interamericana de Puerto Rico, Inc. Recinto de San Germán, InterTec","Carr. # 102, km 30.6, Avenida Universidad,  San Germán, PR","San Germán","00683","PO BOX 5100 InterTec","San Germán","00683","(787) 264-1940","(787) 264-1912","amojica@intersg.edu","milortiz@intersg.edu","(787) 264-1940","(787) 264-4448","Agnes Mojica, M.A., Rectora","422"
"V 61-05","Password Technical College","#14 Calle Carr.o, Suite 2 (antes Calle Ruíz Belvis # 9, Esquina Carr.o)","San Germán","00683","PO BOX 5000-462","San Germán","00683","(787) 892-7947","(787) 313-3315","jirizarry@passwordtech.org","jirizarry@passwordpr.com","(787) 476-7949","(787) 892-7947","Javier P. Irizarry Riveiro","20"
"V 61-07","Instituto Educativo Técnico Ocupacional Instituto San Germán","Carr. 102, Km. 37.9, Bo. Minillas","San Germán","00683","Urbanización Santa Elena Calle 1 A #5","Sabana Grande","00637","(787) 892-6180","(787) 892-4435","wruiz@trabajo.pr.gov","DPABON@trabajo.pr.gov","(787) 892-6180","(787) 892-4435","Wancy I Ruiz Montalvo","36"
"V 62-02.0","Educational Technical College (EDUTEC) SAN SEBASTIAN","Calle Hostos #20","San Sebastián","00685","PO BOX 360426","San Juan","00936","(787) 896-7655","(787) 280-6725","ysantiago@edutecpr.com","mcrodriguez@edutecpr.com","(787) 926-2828","(787) 780-8258","Yadira Santiago","89"
"V 62-02.1","Educational Technical College, Inc., [EDUTEC]  SATELITE LARES","Calle Ermita #1, Esquina Muñoz Rivera, Bo. Pueblo","Lares","00669","PO BOX 360426","San Juan","00936","(787) 897-4725","(787) 896-7655","ysantiago@edutecpr.com","mreyes@edutecpr.com","(787) 926-2828","(787) 780-8258","Yadira Santiago","65"
"V 62-07","IBO Technology Course","Carr. 111 Km 1.8 Bo. Bahomamey, San Sebastian","San Sebastián","00685","Calle Concepcion Vera # 500","Moca","00676","(787) 685-7939","(787) 685-7939","iboctpr@gmail.com",,"(787) 896-5609",,"Gilberto Acevedo Jiménez","116"
"V 64-04","Universidad del Este","Bo. Felicia II, Sector Jauca, Carr. PR #52, Carr. PR #153, Interior","Santa Isabel","00757","PO BOX 756","Santa Isabel","00757","(787) 845-3050","(787) 257-7373","mvelezr@suagm.edu","pamercado@suagm.edu","(787) 825-3660","(787) 257-8841","Dra. Mildred Huertas Solá","129"
"V 64-05","Educational Technical College (EDUTEC) COAMO,PR","CALLE RAMON POWER # 5","Coamo","00769","PO BOX 360426","San Juan","09360","(787) 825-0370","(787) 780-8234","mcolon@edutecpr.com",,"(787) 780-8258",,"Sra. Arleen Martinez","120"
"V 65-02.0","Instituto Especial para el Desarrollo Integral del Individuo, la Fam y la Com (IDIIFCO)","Calle # 4, Esquina D. Barriada Esperanza","Guánica","00653","PO BOX 1370","Guanica","00653","(787) 821-0546","(787) 569-7285","idiiscoguanica@yahoo.com","idiiscoguanica@hotmail.com","(787) 821-0546",,"Sor M. Julia Cintrón Espinell, O.P.","12"
"V 65-02.1","Instituto Especial para el Desarrollo Integral del Individuo, la Fam y la Com (IDIIFCO)","Bo. Santa Juanita, Sector Pozo Prieto Calle B","Guánica","00653","Apartado 1370","Guánica","00653","(787) 821-0546","(787) 569-7285","idiiscoguanica@hotmail.com","idiiscoguanica@hotmail.com","(787) 821-0546",,"Sor M. Julia Cintrón Espinell, O.P.","26"
"V 65-04","NETV- Departamento del Trabajo y Recursos Humanos","Carr.retera 116, Ramal 3116, Km. 3.5, Ave. Los Veteranos","Guánica","00647","Apartado 398, Ensenada","Guanica","00647","(787) 821-4150","(787) 821-5930","JBALAY@trabajo.pr.gov","elsrivera@trabajo.pr.gov","(787) 821-4150","(787) 821-4150","Sr. Jóse A, Balay Ruiz","57"
"V 67-04","Universidad Metropolitana Escuela de Estudios Técnicos","Calle Figueras #100","Jayuya","00664","PO BOX 1527","Jayuya","00664","(787) 828-1319","(787) 766-1717","um_laponte@suagm.edu","livega@suagm.edu","(787) 828-1445","(787) 753-5990","Dra. Irma del Pilar Cruz Montijo","22"
"V 68-03","Dewey University","Carr. #149, Km. 55.9, Bo. Lomas, Zona Industrial","Juana Díaz","00795","PO BOX 19538","San Juan","00910","(787) 260-1023","(787) 753-0039","georgina.solivan1@dewey.edu","miguel.rivera@dewey.edu","(787) 764-6303","(787) 260-1039","Sra. Georgina Soliván Quiles","54"
"V 70-02","Escuela Técnica de Electricidad, Inc.","Calle Villa # 190","Ponce","00730","Calle Villa # 190","Ponce","00730","(787) 843-3588","(787) 843-7100","eteponce@etepr.edu","jcolon@etepr.edu","(787) 841-1392","(787) 843-3588","Daniel Schultz Cruz","164"
"V 70-04","Academia Serrant, Inc.","Calle Concordia # 8180 y #8186, Calle Marina # 34 Esquina Aurora y Calle Comerio #55, Calle Méndez Vigo #7042, Suite 2 Altos","Ponce","00717","Calle Concordia #8180","Ponce","00717","(787) 259-4900","(787) 259-4241","yanira@serrant.edu","hserrant@serrant.edu","(787) 842-4646",,"Imelda Rivera","212"
"V 70-07","Ponce Paramedical College, Inc.","Urb Villa Flores, Calle Acacia #1213 y Calle Begonia #1703, University Plaza Building, Carr. #1, Núm. 37, Zona Industrial, Bo. S","Ponce","00716","PO BOX 800106","Coto Laurel","00780","(787) 848-1589","(787) 848-1589","wvelez1@popac.edu","rcruz@popac.edu","(787) 259-0169","(787) 848-1589","Myrna E Saldana","436"
"V 70-09","Emma's Beauty Academy","101 Carr. 592","Juana Díaz","00795","101 Carr. 592","Juana Diaz","00795","(787) 837-0303","(787) 837-0345","mct@prtc.net","iriscotto@live.com","(787) 837-0333","(787) 837-0303","Iris Cotto Dones - Directora","385"
"V 70-11","Instituto de Banca y Comercio (Recinto)","Calle FerroCarr.il Número 709, Esquina Concordia","Ponce","00732","PO BOX 7623","Ponce","00732","(787) 840-6119","(787) 840-6110","rmorales@ibancapr.com","gvazquez@ibancapr.com","(787) 840-0530",,"Sr. Raúl Morales Lozada","752"
"V 70-13","Universidad Interamericana de Puerto Rico","104 Turpeaux Ind. Park/Mercedita","Ponce","00715","Programa de Certificados Técnicos/104 Turpeaux Ind. Park/Mercedita","Ponce","00715","(787) 840-2094","(787) 955-5993","mavelez@ponce.inter.edu","jalvarez@ponce.inter.edu","(787) 284-1925","(787) 841-0102","Dra. Vilma E. Colón Acosta","253"
