"corpname","corpregisterindex","bestatus","corpclasstype","corporationtype","corporationjurisdictiontype","physicalcitycorp","physicalstatecorp","fullnameagent","fullnameofficer1","fullnameofficer2"
"MINISTERIO RECLAMANDO ALMAS PARA JESUCRISTO INC.","341844-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","COMERIO","PR","JUAN C CRUZ","JUAN C CRUZ","JUAN C. CRUZ"
"THE HERMETIC SOCIETY, PUERTO RICAN ORGANON, INC.","10909-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Aibonito","PR","Felix Betancourt","Felix Betancourt","Yvette Irizarry"
"MAGBET GC, LLC","968-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Caguas","PR",,,
"CPG RESIDENTIAL HOLDINGS LLC","843-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR",,,
"LANZA PROMO SOLUTIONS CORPORATION","164822-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","TOA BAJA","PR","JOSE A ROSARIO","WANDA LANZA","WANDA LANZA"
"SQUAD OF CRISTIAN CHAPLAIN INC","55593-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR",,,
"CONGREGACION TESTIGOS DE JEHOVA DE GUAYANILLA, INC.","10263-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guayanilla","PR",,,
"ONEILL DEVELOPMENT, CORP.","157222-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","RAMON ACOSTA","RAMON ACOSTA","RAMON ACOSTA"
"MINISTERIO EVANGELISTICO ESCUCHA LA VOZ DE DIOS INC.","389692-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","PONCE","PR","Luis Figueroa",,
"JV, SN., INC.","138280-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","JOSE  JIMENEZ","JOSE JIMENEZ","JOSE JIMENEZ"
"IGLESIA PENTECOSTAL ADONAI INC.","27199-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","DORADO","PR","EUGENIO RIVERA",,
"IGLESIA CRISTIANA CASA DE RESTAURACION DE CAGUAS INC.","46926-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CAGUAS","PR",,,
"JM FAST KEY & MORE CORP.","342462-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","JUAN G MACHADO","JUAN MACHADO","JUAN MACHADO"
"LA UNCIN QUE LIBERTA, INC.","303506-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR","Omar Ortiz","Elsa Cruz","Elsa Cruz"
"ASOCIACION EVANGELISTICA MINISTERIO DE LIBERACION, INC.","14252-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"MINISTERIO EVANGELISTICO Y CONSEJERIA CRISTIANA. ""SANANDO Y RESTAURANDO"", INC.","316666-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Aguada","PR","Nelson F Crespo","Nelson F Crespo",
"PR ALLIANCE HOLDINGS II  CORP.","390816-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,"Roberto Trapaga Catala",
"GALLOZA & COLON INC.","389780-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","PONCE","PR","GLORIA M COLON","EDGARDO GALLOZA","GLORIA M COLON"
"TABERNACULO DE CRISTO DEFENSORES DE LA FE INC.","9811-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"BETH ISRAEL TOA ALTA, PR INC.","54656-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Toa Alta","PR",,,
"IGLESIA EVANGELICA BAUTISTA DE GUARAGUAO, INCORPORADO","14211-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"BERMUDEZ CONTRACTOR'S INC.","138552-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","JOSE L BERMUDEZ","JOSE L BERMUDEZ","JOSE L BERMUDEZ"
"MINISTERIO, LLAVANDO LA PRECIOSA SEMILLA, INC.","309857-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","TRUJILLO ALTO","PR","SONIA MARZAN","SONIA MARZAN",
"NPAS SOLUTIONS, LLC","1323-1532","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","San Juan","PR",,,
"COOPERATIVA DE AHORRO Y CREDITO CUBEM","550-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"D & S TRANSPORT CORP.","162762-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","CAROLINA","PR","SANDRA COLON","SANDRA L COLON","DANIEL CUSTODIO"
"AGENCIA PARA EL DESARROLLO EDUCATIVO INTERDISCIPLINARIO DEL SUR INC.","346401-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Guayama","PR","Marco R Belen","Marco R Belen","Marco R Belen"
"ANAMAN SERVICES CORPORATION","390152-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Eduardo Cruz-Diaz",,
"PEDRO J. ESTEVES, INC.","200641-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","Caguas","PR",,"Pedro Esteves","Pedro Esteves"
"LA PALABRA PR CORP.","343769-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR","Carmen Cruz","Carmen Cruz","Carmen Cruz"
"MINISTERIO DE MUSICA CRISTIANA FUENTE DE BETHEL, INC.","48319-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Sebastián","PR",,,
"NORTHEN INSURANCE COMPANY OF NEW YORK","90-412","ACTIVA","Compañía de Seguros","Con Fines de Lucro","Foránea","Unknown","NO DISPONIBLE",,,
"INFORMATION MAPPING PR CORPORATION","389860-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,"Jami M Aucoin",
"TRADE MARKETING SOLUTIONS INC.","174022-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","BAYAMON","PR","Liana  Adorno","LIANA ADORNO","LIANA ADORNO"
"IGLESIA CASA DE VIDA DEFENSORES DE LA FE, INC.","385493-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","VEGA ALTA","PR","ELIEZER CONCEPCION","ELIZABETH ALVAREZ","ELIZABETH ALVAREZ"
"COOPERATIVA JUVENIL ESCOLAR SANDI COOP.","175-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","Vega Baja",,,,
"MINISTERIO RECONSTRUYENDO AL CAIDO, INC.","44998-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","UTUADO","PR","HIRAM VELEZ","HIRAM VELEZ","NILDA MONT"
"PCIG LLC","385756-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","John J Reyes",,
"IGLESIA PENTECOSTAL GETSEMANI CONCILIO LATINO AMERICANO, INC.","23750-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"COOPERATIVA JUVENIL ESCOLAR ''PEQUEOS PICASSOS COOP''","367-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","Florida","PR",,,
"ALIANZA APOSTOLICA Y PROFETICA, INC.","318946-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CAMUY","PR","Jose A Quintero","Isabel Quintero","Isabel Quintero"
"NEW DAY CHRISTIAN RESTORATION (N.D.C.R), INC.","311779-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Santurce","PR","Latoya Nelson","Latoya Nelson",
"MINISTERIO EVANGELISTICO PORQUE DE DIOS ES EL PODER INC.","61468-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Dorado","PR",,,
"CORPORACIN MINISTERIO REVELACIONES DE IMPACTO","58534-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Manatí","PR",,,
"SUCESORES DE PALAU, INC.","183783-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Jayuya","PR","CARMEN RIVERA","HILDA I RIVERA","CARMEN RIVERA"
"IGLESIA CAPELLANA MINISTERIAL #1 DE PUERTO RICO, INC.","27268-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"SUPER FARMACIA LIBERTAD INC.","41276-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","FAJARDO","PR","REYNALDO R ROSARIO","LUZ M BONILLA","REYNALDO R ROSARIO"
"MACOSS BUSINESS GROUP, INC.","161949-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","San Juan","PR","Javier Abreu","Javier Abreu","Javier Abreu"
"IGLESIA DEL NAZARENO, CASA DE PROCLAMACION Y ALABANZA, CORP.","36734-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE","Jorge L. Meléndez",,
"IGLESIA DE DIOS LA SENDA NUEVA CORP.","6312-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"ONE KINGDOM MINISTRIES, INC.","312218-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR","Carlos Marcel Torres",,
"TABERNACULO DE RESTAURACION HECHOS 1:8, INC.","319656-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","aguadilla","PR","Reynaldo Hernandez","Reynaldo Hernandez","Reynaldo Hernandez"
"SACRED HILL SEVENTH-DAY ADVENTIST MINISTRY INC.","53486-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Bayamón","PR",,,
"GOZN LA CASA DEL PAN INC.","64189-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Toa Baja","PR",,,
"IGLESIA SILOE DEFENSORES DE LA FE INC","28343-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"NAVARRO, RODRIGUEZ & ASSOCIATES, P.S.C.","913-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","SAN JUAN","PR","ANIBAL NAVARRO","Arnaldo  Navarro","Anibal Navarro"
"CENTRO CRISTIANO DE AVIVAMIENTO CIELOS ABIERTOS INC.","329639-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","humacao","PR","Lanette Gomez","Lanette Gomez",
"RAMIS HOLDINGS LLC","330993-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","WILFREDO MIGUEZ","INES RIVERO","INES RIVERO"
"USCG LLC","366715-1512","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","SAN JUAN","PR",,"Mark D. Cohen",
"SURFSIDE 22 L.L.C.","341760-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR","Patrick Mitchell","Patrick Mitchell",
"MOVIMIENTO CRISTIANO "" COMO VIENTO RECIO"" CVR INC.","50002-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Rio Piedras","PR",,,
"PUERTA DE LIBERTAD INC.","56880-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"PPTAX ADVISORS LLC","386763-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","FRANCISCO J FELICIANO",,
"PUERTO RICO BIKE ADVENTURES  INC.","362975-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","CABO ROJO","PR","DELVIS W RAMIREZ","FERNANDO I ZAMBRANA","FERNANDO I ZAMBRANA"
"HOPE SPECIALIZED SERVICES INC.","385743-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CAGUAS","PR","Amarilis Perez","Amarilis Perez",
"ASOCIAICION DE EX ALUMNOS DE COLUMBIA COLLEGE, INC.","62163-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CAGUAS","PR",,"CARMEN ROJAS","ALEX DE JORGE"
"HARRY SANTOS BASEBALL INC.","343996-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","BAYAMON","PR","HARRY DAVID SANTOS","HARRY D SANTOS","harry Santos"
"WWW.ASEGURATEPR.COM LLC","386264-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","BAYAMON","PR","JOSE M. FEBO","JOSE M. FEBO",
"IGLESIA DEL NUEVO TESTAMENTO PENTECOSTAL DE LARES, PUERTO RICO, INC.","24715-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Lares","PR","Audeliz Martinez",,
"SAFETY CONSTRUCTION & ENGINEERING, INC.","37130-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","MANATI","PR","ANGEL  N SOLER","NELSON SOLER","ANGEL N SOLER"
"CAPOEIRA PARA TODOS, INC.","325790-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR","GERALDO E GUZMAN","Geraldo E Guzman","Geraldo E Guzman"
"COMACS - COMPLETE MAINTENANCE & CLEANING SERVICES LLC","339084-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Caguas","PR","Jean C Sierra",,
"MINISTERIO  EVANGELISTICO PERO NOSOTROS NO SOMOS DE LOS QUE RETROSEDEN PARA  PERDICION, SINO DE LOS QUE TIENEN FE PARA PRESERVACION DEL ALMA. , INC.","320844-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guaynabo","PR","Javier Reyes","Javier Reyes",
"IGLESIA CRISTIANA RESTAURANDO LA SENDA ANTIGUA INC.","331098-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","utuado","PR","wandaliz collazo","wandaliz collazo",
"RESCATANDO ALMAS PARA CRISTO Y PARA EL CIELO INC.","64402-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"WEST COAST MANAGEMENT INC.","367192-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","José G. Barea",,
"JJ BAREA FOUNDATION, CORP.","301619-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","SAN JUAN","PR","José G Barea","JAIME E BAREA","AMILCAR JORDAN"
"IGLESIA MANTO DE FUEGO Y DE PODER CORP.","58193-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Caguas","PR",,,
"CASA DE ORACION RESCATANDO LA OVEJA HERIDA Y PERDIDA JER 23:4, INC.","61884-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR",,,
"UNIVERSIDAD TEOLOGICA Y CONSEJERIA BIBLICA DE P.R. INC.","59204-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Barceloneta","PR",,,
"CC1 INDUSTRIES, LLC","2321-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","Bayamón","PR",,,
"CASA DI MARCHELO LLC","386701-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Samuel M Aquino",,
"JESUSSTONEMIRACLE, INC.","320042-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","GUAYANILLA","PR","JOSEAN VEGA","JOSEAN VEGA",
"ENVIRO SOLUTIONS COMPAA DE RESPONSABILIDAD LIMITADA CON FIN SOCIAL","386162-1511","ACTIVA","Compañía de Responsabilidad Limitada con Fin Social","Con Fines de Lucro","Doméstica","CABO ROJO","PR","LUIS A CASTRO","LUIS A CASTRO",
"MELIYAN OF PUERTO RICO LLC","622-1532","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Foránea","San Juan","PR",,,
"LUNA YT LLC","391397-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Maxwell Perry Khaghan","Maxwell Perry Khaghan","Maxwell Perry Khaghan"
"CASA DE JBILO: RESTAURANDO TU VIDA INC.","57086-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Hatillo","PR",,,
"FARO DEL EVANGELISMO INTERNACIONAL CUADRANGULAR LIFE LIGHTHOUSE OF INTERNATIONAL FOURSQUARE EVANGELISM PUERTO RICO, INC.","311941-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CANOVANAS","PR","PEDRO DANIEL SANCHE","PEDRO DANIEL SANCHE",
"ACADEMIA BARBARA ANN ROESSLER, INC.","24333-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"WORSHIP AWAKENING INTERNATIONAL MINISTRIES INC.","62166-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR",,,
"IGLESIA EVANGELICA MISIONERA, EL SHADDAI INC.","34307-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Barceloneta","PR","Gladys Cabán",,
"BEST PRODUCTS INTERNATIONAL INC.","390220-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR","RAFAEL RODRIGUEZ","RAFAEL RODRIGUEZ","RAFAEL RODRIGUEZ"
"COOPERATIVA CAFETERIA CENTRO GUBERNAMENTAL DE PONCE","417-221","ACTIVA","Cooperativa de Ahorro Y Crédito","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"ROCA MEDICAL SERVICES CORPORATION","390019-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","PONCE","PR","ENRIQUE RODRIGUEZ",,
"PANADERIA ROMA, INC.","55533-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GUAYNABO","PR","Artemio Santiago","Artemio Santiago","Artemio Santiago"
"CASA DE RESTAURACION FAMILIAR HEALING HANDS, INC","50102-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guaynabo","PR",,,
"IGLESIA BAUTISTA NUEVA VIDA INC.","13600-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Mayaguez","PR","Luis A. Cuadrado",,
"ALFA LYRAE, INC.","193836-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SALINAS","PR","ANA L VEGA","HECTOR VEGA","JUAN VEGA"
"PRIMERA IGLESIA ASAMBLEAS DE DIOS DE HORMIGUEROS, INC.","15802-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"ENTRANDO AL TABERNACULO INC.","345154-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Ponce","PR","Daniel Rivera",,
"DELTA INTEGRATED SECURITY INC.","344935-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","Dorado","PR","Emyr Lastra","JAVIER COMAS","JAVIER COMAS"
"CORPORACION TRAVESIAS ISLEAS YAUREIBO","149688-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","VIEQUES","PR","NESTOR DE JESUS","NESTOR DE JESUS","NESTOR DE JESUS"
"IGLESIA PENTECOSTAL SUBE ACA, APOC.:4:1, INC.","24625-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"JLEE ART CORP.","389971-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","BAYAMON","PR","LINNETTE D QUILES","LINNETTE D QUILES","LINNETTE D QUILES"
"PLAYA SOLES INC.","389734-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GUAYAMA","PR","Gabriel Gonzalez","Linet Malave Solis","Linet Malave Solis"
"MISION CRISTIANA REFUGIO DE DIOS CORP.","58202-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","LOIZA","PR","DOLORES RIVERA","LOICA CIRIÑO","DOLORES RIVERA"
"SHAVERTEK LLC","391384-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","RIO GRANDE","PR","Brian Keith Shaver",,
"IGLESIA CRISTIANA DE RESTAURACION DE QUEBRADILLAS, INC","20423-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Aguadilla","PR","MIGUEL ROMÁN",,
"IGLESIA DE DIOS MUNDIAL, INC","45430-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CAYEY","PR",,,
"CENTRAL COOPERATIVA DE INTEGRACIN DE SERVICIOS FINANCIEROS (INTEGRACOOP)","625-1221","ACTIVA","Cooperativa de Consumo","Sin Fines de Lucro","Doméstica",,,,,
"COOPERATIVA JUVENIL UNIVERSITARIA SAGRADO- COOP.","392-1321","ACTIVA","Cooperativa Juvenil","Sin Fines de Lucro","Doméstica","San Juan","PR",,,
"BCVENTURES INC.","340680-1511","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","GUAYNABO","PR","CARLOS JAVIER BARRETO","Carlos Javier Barreto","Carlos Javier Barreto"
"CENTRO DE CARDIOLOGA INTERVENCIONAL Y PERIFEROVASCULAR DEL NORTE, P.S.C.","6486-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","San Juan","PR","Edwin  Perez","Edwin  Perez","Edwin  Perez"
"PUNTO AZUL INC.","356565-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","AGUADILLA","PR",,"NICOLE A RODRIGUEZ","VICTOR A SOTO"
"HJG GROUP INC.","391895-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,"Harry O. Vega","Gustavo O. Gandia"
"WEST COAST CANNABIS PR L.L.C.","386907-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","AGUADILLA","PR","Almin A Rivera","Almin A Rivera",
"GREEN GO CAPITAL LLC","390490-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN LORENZO","PR","RICARDO VILLAFAÑES","RICARDO VILLAFAÑES","RICARDO VILLAFAÑES"
"CARIBBEAN INDUSTRIAL MECHANICAL REFRIGERATION LLC","389490-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR","VICTOR L TORRES","VICTOR L TORRES","VICTOR L TORRES"
"IGLESIA MINISTERIAL PENTECOSTAL BET-EL, INC.","17983-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"MINISTERIO EVANGELISTICO JESUCRISTO EL PAN DE VIDA, INC.","21185-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"CLASE NOVENO GRADO 2018 CSAA INC.","363702-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","HUMACAO","PR",,"Jose Rafael Gonzalez","Adria Toro"
"MUSIC FOR GOD MICHI-L, INC.","320249-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Arecibo","PR","Michelle Vargas",,
"RUBN CAB MINISTRIES INC.","327934-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Guayanilla","PR","Rubén Torres","Rubén Torres",
"SONORA PONCEA INC.","385598-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","PONCE","PR","ENRIQUE A. LUCCA","JAHATH A LUCCA","ENRIQUE A LUCCA"
"PICERNE DEVELOPMENT OF PUERTO RICO, LLC","3760-1531","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR",,,
"SAN LORENZO PROFESSIONAL CENTER, INC.","46423-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","San lorenzo","PR","Luis R Del Valle","Luis R Del Valle","Luis R Del Valle"
"RADIO ESTUDIO 77, INC.","313040-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","CEIBA","PR","MANUEL ARIZMENDI",,
"IGLESIA BAUTISTA REFORMADA INC.","6945-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA EVANGLICA EL BUEN PASTOR DE AASCO, INC.","324552-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Añasco","PR","Héctor Ortiz",,
"J.L. ACCOUNT'S SALVATION, INC.","48640-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Carolina","PR",,,
"RELEAF SOLUTIONS CORPORATION","387470-1011","ACTIVA","Corporación Intima","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Rafael Angel Martinez","Rafael Alex Martinez","Rafael Alex Martinez"
"MEDIHEMP LLC","390051-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","SAN JUAN","PR",,,
"LOS GEDEONES DE JESUCRISTO, INC.","312443-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Juncos","PR","Angel L Pereira","Angel L Pereira","Angel L Pereira"
"MGMS LAW OFFICE P.S.C.","389950-711","ACTIVA","Corporación Profesional","Con Fines de Lucro","Doméstica","SAN JUAN","PR","Marcos G. Morales","Marcos G. Morales",
"MINISTERIO LA IGLESIA ABIERTA INC.","60034-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Barceloneta","PR",,,
"PACCTO CORP.","335495-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","MAYAGUEZ","PR","HUMBERTO RUIZ","HUMBERTO RUIZ",
"COMIT ORGANIZADOR CINCUENTA AOS DEL VIACRUSIS INC.","389887-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","VEGA BAJA","PR","Reynaldo Rivera","Valerie Reyes","Maria De Los A. Santiago"
"IGLESIA JEHOVA JUSTICIA NUESTRA, ""CAMPAMENTO CELESTIAL"", INC.","50951-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Rio Piedras","PR",,,
"IGLESIA PENTECOSTAL FARO DE LUZ Y VERDAD INC.","341001-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Toa Baja","PR","Lilliam Colon","Lilliam Colon",
"BAYAMON FOODTRUCK STATION INC.","391432-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","BAYAMON","PR","MIGUEL RIVERA","MIGUEL RIVERA","MIGUEL RIVERA"
"LIBRERA PARAKLETOS, INC.","146064-111","ACTIVA","Corporación","Con Fines de Lucro","Doméstica","ARECIBO","PR","ROBERTO  BIRRIEL","ROBERTO BIRRIEL","ROBERTO BIRRIEL"
"I LEARN TO BE!, INC.","318178-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","San Juan","PR","Glorimar Montalvo","Glorimar  Montalvo","Glorimar Montalvo"
"GO SHARP PUERTO RICO, LLC","326770-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","GUAYNABO","PR","KENNETH RIVERA","RODRIGO RANGEL",
"HACIENDA HOLDINGS, LLC","331850-1511","ACTIVA","Compañía de Responsabilidad Limitada","Con Fines de Lucro","Doméstica","San Juan","PR",,"Jared Starr",
"POETAS AA BASEBALL CORPORATION","356597-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","JUANA DIAZ","PR",,"Marissa Rivera","Juan M Rodriguez"
"IGLESIA MONTE SINAI, INC.","15595-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"IGLESIA ARCO IRIS DE DIOS FUNDADA POR NUESTRO SEOR JESUCRISTO, INC.","2341-121","ACTIVA","Corporación","Sin Fines de Lucro","Doméstica","Unknown","NO DISPONIBLE",,,
"FILME COOP.","703-1221","ACTIVA","Cooperativa de Consumo","Sin Fines de Lucro","Doméstica","Cabo Rojo","PR",,,
